term,measure,estimate,std_error,z_value,p_value,n_simulations,rho
mean_annual_hours_total,direct,-6.06639154753772e-6,3.509422516285354e-6,-1.7280234009075637,0.08398402905085867,2000,0.8605245851570311
mean_annual_hours_total,indirect,-2.7090915968090133e-5,1.9354886973570557e-5,-1.4478990137071637,0.14764529553846595,2000,0.8605245851570311
mean_annual_hours_total,total,-3.315730751562785e-5,2.2338648670234895e-5,-1.5259779807845018,0.1270153483204417,2000,0.8605245851570311
