record_type,perm_id,n_boot,seed,runtime_sec,converged,FP_between,slope_1985_1991,slope_1992_2001,slope_2002_2007,slope_2008_2015
metadata,NA,1000,42,414.01300000000003,NA,NA,NA,NA,NA,NA
permutation,1,NA,NA,NA,TRUE,0.002092833135145591,0.002092833135145591,-0.013361574684711974,-0.018294718989381634,-0.016719796120932957
permutation,2,NA,NA,NA,TRUE,0.004375757864725244,0.004375757864725244,0.008498081499233567,-0.010651113753123944,0.00966817927539624
permutation,3,NA,NA,NA,TRUE,-0.003913584447979887,-0.003913584447979887,-0.015458511703614843,-0.036270140827150354,-0.02965986454988974
permutation,4,NA,NA,NA,TRUE,0.021257873222523607,0.021257873222523607,0.012326930446024769,-0.011557604303589444,0.010457472871772506
permutation,5,NA,NA,NA,TRUE,0.011993612544565905,0.011993612544565905,0.023914485829979563,0.019825996198953068,0.03127079208244024
permutation,6,NA,NA,NA,TRUE,-0.0077610074046694675,-0.0077610074046694675,-0.01682241073758704,-0.001124630012678031,-0.007478881302498654
permutation,7,NA,NA,NA,TRUE,-0.0016030439017704018,-0.0016030439017704018,0.010196948972661159,-0.018216085491684426,-0.00338272416473558
permutation,8,NA,NA,NA,TRUE,-0.0067130081798878844,-0.0067130081798878844,0.0035272052518833816,-0.0014171389996958028,-0.001975077692927609
permutation,9,NA,NA,NA,TRUE,0.031038151236245724,0.031038151236245724,0.005967908035186452,-0.0017477444495295827,0.0034193558365773202
permutation,10,NA,NA,NA,TRUE,-0.007996174981765164,-0.007996174981765164,-0.005444094828310006,0.017314283388572615,0.007197630700451388
permutation,11,NA,NA,NA,TRUE,0.009441625269706228,0.009441625269706228,-0.0033165733420732688,-0.01058957290536362,-0.013960020126451162
permutation,12,NA,NA,NA,TRUE,0.015341168157146956,0.015341168157146956,0.0018024641725888201,-0.003550339016780686,0.018605809764181972
permutation,13,NA,NA,NA,TRUE,0.024351606568657064,0.024351606568657064,-0.009376941185043237,0.0035504884054801365,-0.0011871965610497394
permutation,14,NA,NA,NA,TRUE,-0.027100521370513244,-0.027100521370513244,-0.018229088200938905,0.015339997934097602,-0.006791798198952398
permutation,15,NA,NA,NA,TRUE,0.011038160011914364,0.011038160011914364,0.004539511990641129,0.015014632323283015,0.006787692924859836
permutation,16,NA,NA,NA,TRUE,-0.022764783602084917,-0.022764783602084917,-0.023490765811458782,0.013297686026260695,0.011539361014776397
permutation,17,NA,NA,NA,TRUE,0.021594471796338766,0.021594471796338766,0.015829427446559227,0.011999204194335538,0.013897856578270515
permutation,18,NA,NA,NA,TRUE,-0.016695844842891116,-0.016695844842891116,-0.0018621021824944718,-0.015858900843087376,-0.024139761370950624
permutation,19,NA,NA,NA,TRUE,0.005376468115024517,0.005376468115024517,0.003134011227102833,-0.01621433445829278,0.003732339163784906
permutation,20,NA,NA,NA,TRUE,-0.0024284282027735122,-0.0024284282027735122,0.018487610627195145,0.008881653245601862,0.031046554170078806
