phase,year_from,year_to,n_years,slope_hours_per_year,direction,r_squared,phase_mean_hours,slope_pct_of_mean_per_year
1985-1990,1985,1990,6,917.8850277949864,increasing,0.8789858377638525,13983.28140804445,6.56416044997089
1990-2000,1990,2000,11,-295.30838521261313,decreasing,0.8488431895736785,16399.041439489247,-1.8007661380835598
2000-2010,2000,2010,11,-756.5469516371843,decreasing,0.932596634626186,11137.368676247906,-6.7928697848589055
2010-2015,2010,2015,6,-218.65425481415107,decreasing,0.4932770690207388,7586.364436109869,-2.882200778193467
