"stat_rec","lon","lat","mean_elevation_m","mean_depth_m","depth_min_m","depth_max_m","depth_range_m","grad_bearing_cross_deg","grad_bearing_along_deg","grad_magnitude_m_per_m","elev_at_centroid_m","pct_sounding","n_cells","n_nonland","n_direct","dist_to_gebco_edge_deg","tid_flag_lt50","tid_flag_lt25"
"31F1",1.4999999998002,51.2499999997502,-5.9921875,5.9921875,-190,63,253,159.122042667356,249.122042667356,0.0131074607824331,-2,99.9953791414445,28800,21641,21640,1.24999999975023,FALSE,FALSE
"31F2",2.50000000004999,51.2499999997502,-15.9149652777778,15.9149652777778,-40,43,83,137.3111393511,227.3111393511,0.0148389914727163,-19,98.697791908018,28800,22961,22662,1.24999999975023,FALSE,FALSE
"32F1",1.4999999998002,51.7499999996503,-14.7013888888889,14.7013888888889,-48,57,105,279.175528314826,9.17552831482618,0.00242654542048123,-17,99.9299084687062,28800,24254,24237,1.7499999996503,FALSE,FALSE
"32F2",2.50000000004999,51.7499999996503,-36.9147222222222,36.9147222222222,9,60,51,105.067411777424,195.067411777424,0.000744235270558287,-36,100,28800,28800,28800,1.7499999996503,FALSE,FALSE
"32F3",3.50000000029982,51.7499999996503,-16.1671180555556,16.1671180555556,-33,42,75,118.298965889449,208.298965889449,0.00326478337391867,-20,97.525867823765,28800,23968,23375,1.7499999996503,FALSE,FALSE
"33F1",1.4999999998002,52.2500000000001,13.190625,-13.190625,-81,43,124,246.739841341644,336.739841341644,0.00247705356796084,40,99.6447602131439,28800,10697,10659,2.25000000000006,FALSE,FALSE
"33F2",2.50000000004999,52.2500000000001,-41.8681597222222,41.8681597222222,23,66,43,155.337165427574,245.337165427574,0.00172223194535002,-43,100,28800,28800,28800,2.25000000000006,FALSE,FALSE
"33F3",3.50000000029982,52.2500000000001,-29.0337152777778,29.0337152777778,18,45,27,328.524311624782,58.5243116247815,0.000229393599590004,-29,100,28800,28800,28800,2.25000000000006,FALSE,FALSE
"33F4",4.50000000009999,52.2500000000001,-6.58704861111111,6.58704861111111,-41,27,68,0,90,0.000195641036668217,2,61.1949652687105,28800,19147,11717,2.25000000000006,FALSE,FALSE
"34F1",1.4999999998002,52.7500000003498,5.90184027777778,-5.90184027777778,-108,47,155,168.592881634864,258.592881634864,0.00121119781794965,1,97.1375807940905,28800,12996,12624,2.75000000034981,FALSE,FALSE
"34F2",2.50000000004999,52.7500000003498,-38.2948958333333,38.2948958333333,6,52,46,292.441723642171,22.4417236421713,0.00155506566615639,-39,100,28800,28800,28800,2.75000000034981,FALSE,FALSE
