model,level,morans_i,geary_c,p_moran,p_geary,n
primary_v2,BLUP,0.5502646647487459,0.4422094246319926,4.567493278418376e-39,1.6821361115748363e-37,158
primary_v2,rectangle_mean_residual,0.4742474245918515,0.5020435762433599,6.838735604040582e-30,2.721880634016726e-30,158
spec_a,BLUP,0.5318096457808171,0.46192431416325946,1.5246531956015017e-36,4.900524271690479e-35,158
spec_a,rectangle_mean_residual,0.4615484177667847,0.5136234712437033,2.761522508486146e-28,5.457160989493034e-29,158
spec_b,BLUP,0.42159154329552623,0.5719337285434981,8.79111525928358e-24,6.847193443483054e-23,158
spec_b,rectangle_mean_residual,0.32624785932601597,0.6408424769479445,3.744112323440986e-15,1.1451890656584436e-16,158
spec_ab,BLUP,0.4186309514612005,0.5729525197177735,1.7541710755044185e-23,8.615424605025776e-23,158
spec_ab,rectangle_mean_residual,0.337845222458037,0.6251384209231569,4.1107794856121325e-16,5.422180787938372e-18,158
