stat_rec,mean_D,mean_annual_hours_total,cooks_distance,cooks_threshold_4_over_n
45F0,0.756877389852706,38805.70967741936,0.05626314325734366,0.024844720496894408
41E7,0.554905410818395,43508.967741935485,0.048792182045332,0.024844720496894408
43F7,0.5600496429879656,42260.516129032265,0.03921203062575121,0.024844720496894408
34F2,0.7701077657409193,24964.870967741936,0.029286780756764146,0.024844720496894408
41E9,0.4953836540317804,1729.451612903226,0.025483483268863,0.024844720496894408
50F1,0.7416314604558395,4362.5161290322585,0.02505969969511138,0.024844720496894408
34F1,0.7145405916834969,1913.354838709677,0.019618764025642842,0.024844720496894408
45E6,0.5127327193494844,1095.1290322580646,0.019187975826302335,0.024844720496894408
42E9,0.5111213995912071,1818.1935483870968,0.018945510605943443,0.024844720496894408
47E6,0.5031391905733815,4865.096774193548,0.018225295983949473,0.024844720496894408
47F2,0.7189034860744016,3984.58064516129,0.017544876582035396,0.024844720496894408
42F0,0.500589948705789,6588.322580645162,0.01722602298486887,0.024844720496894408
47F3,0.7513910200009707,11957,0.01671326982974391,0.024844720496894408
31F1,0.622366169242838,57692.5806451613,0.016343115147368976,0.024844720496894408
48E7,0.5210468684154583,2137.2903225806454,0.015095783310440465,0.024844720496894408
42F4,0.7198569265112746,6529.806451612904,0.014188335089361431,0.024844720496894408
33F1,0.7262257298302524,8061.193548387096,0.014072661866031087,0.024844720496894408
43F0,0.5218684648447659,3049.58064516129,0.01402926354489818,0.024844720496894408
51F1,0.7130181228216357,5468.322580645162,0.013626488077534056,0.024844720496894408
48F2,0.6952392441454774,1653.2903225806451,0.013277651505064835,0.024844720496894408
50F3,0.7112701485915199,5532.1612903225805,0.013069440355969889,0.024844720496894408
48F3,0.7332652657991489,11327.709677419354,0.012814008895826661,0.024844720496894408
38F2,0.7165524684828086,9138.806451612903,0.010756988660035249,0.024844720496894408
40E9,0.5338000014629104,2898.709677419354,0.010679066892494565,0.024844720496894408
45E8,0.519782909108551,16788.064516129034,0.010340308678548257,0.024844720496894408
36F4,0.7045546822521391,28505.064516129038,0.00996810667837381,0.024844720496894408
37E9,0.5519609485370437,25467.806451612894,0.009909175954906898,0.024844720496894408
49E9,0.7032059453458549,7107.322580645163,0.009515896314946334,0.024844720496894408
46F1,0.691493217157126,4628.354838709677,0.009016402935802355,0.024844720496894408
35F1,0.5388512419000882,4178.612903225807,0.008711490570540444,0.024844720496894408
44F0,0.5249915783108524,12888.258064516132,0.008701816412214522,0.024844720496894408
36F6,0.6865114907623874,39415.967741935485,0.00849756510909761,0.024844720496894408
51E9,0.7010594741565273,7924.580645161292,0.008435752250814166,0.024844720496894408
50F0,0.6962885325197905,6911.032258064517,0.008207808846861167,0.024844720496894408
40E8,0.5327189340590239,9065.741935483868,0.0080048498720139,0.024844720496894408
46F0,0.7121958498442533,19514.161290322583,0.007746872897580304,0.024844720496894408
40F1,0.5456870979065425,3414.548387096775,0.007490385937983862,0.024844720496894408
41F6,0.5577247031322818,23953.064516129038,0.00733945526035407,0.024844720496894408
40F0,0.5479968062325369,2981.0967741935483,0.00714697423706944,0.024844720496894408
49E8,0.5500675815463588,1868.645161290323,0.007096445345498891,0.024844720496894408
41F1,0.5489304273847664,2753.903225806452,0.007025476570214697,0.024844720496894408
44E9,0.5404035555519269,9177.580645161292,0.00659666675961909,0.024844720496894408
39E9,0.5507004728906936,20517.064516129038,0.006514748250427051,0.024844720496894408
33F4,0.700612925665984,21881.064516129038,0.006316022083515514,0.024844720496894408
42E7,0.5452553661697751,7922.838709677421,0.006077825344791433,0.024844720496894408
45F1,0.6947989390066424,10352.322580645165,0.005976349754908966,0.024844720496894408
42F3,0.6780750277499764,5021.4838709677415,0.005920561418251214,0.024844720496894408
32F3,0.5849174526199684,29421.548387096773,0.005305360324015437,0.024844720496894408
47F0,0.6865364717877905,8943.096774193551,0.00529609738653711,0.024844720496894408
50E9,0.5477215406825869,15558.58064516129,0.00528745589491362,0.024844720496894408
42E8,0.5572071876081233,2992.266666666666,0.005253651858825845,0.024844720496894408
44F1,0.5579478662621824,2449.58064516129,0.005249961109800975,0.024844720496894408
43E9,0.5562979988651737,4008.4838709677415,0.005164779337780721,0.024844720496894408
50E7,0.67929043514925,6799.709677419354,0.005157020865033639,0.024844720496894408
41F7,0.581341946765041,27881.51612903226,0.005141499290471324,0.024844720496894408
44E8,0.5482561746496892,14197.516129032265,0.005046564054640543,0.024844720496894408
38F0,0.548018411319753,12652.58064516129,0.005025938484822453,0.024844720496894408
36F3,0.6945156827884149,19164.032258064515,0.0048404143657774954,0.024844720496894408
46F3,0.6894056824071183,11744.935483870966,0.004711920535144962,0.024844720496894408
39F5,0.6907682571377802,14405.935483870966,0.004362261252694579,0.024844720496894408
43E8,0.5570858214685109,8223.096774193551,0.004188024020529975,0.024844720496894408
38F5,0.682654828502327,10696.322580645165,0.004115408121707464,0.024844720496894408
41F0,0.5631625312586692,3412.7419354838707,0.004108000580823803,0.024844720496894408
34F4,0.6798748506034804,26207,0.0038202281504147073,0.024844720496894408
42F5,0.6720755623960265,8067.16129032258,0.0035825197830932514,0.024844720496894408
31F2,0.671294139785611,45377.8064516129,0.0035802510210217148,0.024844720496894408
41F4,0.6693356150732906,7233.516129032258,0.003509590633107399,0.024844720496894408
39F0,0.5630778032845579,8435.709677419356,0.0033699263649345983,0.024844720496894408
41F3,0.5662382304890887,5224.064516129033,0.0033528030242865824,0.024844720496894408
44E6,0.5718215753989419,20294.709677419352,0.003349873638585696,0.024844720496894408
44E7,0.5838828874052064,24286.064516129038,0.0031050657318648822,0.024844720496894408
46E8,0.5676898013675272,5708.4516129032245,0.0030951276914531513,0.024844720496894408
48E9,0.6572107688489313,3773.032258064517,0.003090914941276116,0.024844720496894408
38E9,0.5915164526967075,27225.25806451613,0.003077108157322099,0.024844720496894408
42F6,0.579359656497501,22363.483870967742,0.003054247072752972,0.024844720496894408
45E9,0.5645300511900341,13744.290322580644,0.003037839640321226,0.024844720496894408
43F2,0.5720638429068906,1632.2258064516127,0.002963759620953153,0.024844720496894408
49F0,0.6776704216531904,13702.709677419358,0.002933274693627142,0.024844720496894408
45F4,0.6771089761014808,14311.193548387097,0.002807294537738603,0.024844720496894408
46E7,0.5738954729105924,1179.6774193548383,0.0027379653809960036,0.024844720496894408
47E8,0.5735351006193579,2219.290322580645,0.002690204227774761,0.024844720496894408
31F3,0.6738134703801288,21493.290322580644,0.0024710957487204255,0.024844720496894408
