model_id,hypothesis_group,component,phase,year_start,year_end,fp_slope,fp_slope_se,fp_slope_lo,fp_slope_hi,statistic,p_value
primary_v2,H2_spatial_between,FP_between,1985-1991,1985,1991,-0.024729005795125835,0.015504901278215844,-0.05511861230042889,0.005660600710177217,-1.5949153981308943,0.1107311557928672
primary_v2,H2_spatial_between,FP_between,1992-2001,1992,2001,0.014172536221368385,0.014136802391614743,-0.013535596466196509,0.04188066890893328,1.0025277165771829,0.3160887870740621
primary_v2,H2_spatial_between,FP_between,2002-2007,2002,2007,0.12233108594369581,0.015464750587416408,0.09202017479235965,0.15264199709503196,7.910317418454587,2.5673344889442483e-15
primary_v2,H2_spatial_between,FP_between,2008-2015,2008,2015,0.051887407800964416,0.014636072312972469,0.023200706067538376,0.08057410953439045,3.5451729597546993,3.9235553873169775e-4
primary_v2,H3_temporal_within,FP_within,1985-1991,1985,1991,0.02687809293344614,0.014844273301556408,-0.0022166827376044196,0.0559728686044967,1.8106708484428131,0.0701918179620111
primary_v2,H3_temporal_within,FP_within,1992-2001,1992,2001,0.043721171580476365,0.017203974980503873,0.010001380618688771,0.07744096254226396,2.541341267353776,0.011042807550750714
primary_v2,H3_temporal_within,FP_within,2002-2007,2002,2007,-0.0017742979191749317,0.017440540449155946,-0.03595775719952059,0.032409161361170724,-0.10173411336348816,0.9189677240640042
primary_v2,H3_temporal_within,FP_within,2008-2015,2008,2015,0.05766254182440866,0.012225390937644881,0.033700775586624696,0.08162430806219262,4.716621506707978,2.3979318326433857e-6
spec_a,H2_spatial_between,FP_between,1985-1991,1985,1991,0.009876240484740027,0.026214181843185032,-0.041503555927902634,0.06125603689738269,0.37675181105480804,0.7063580554351387
spec_a,H2_spatial_between,FP_between,1992-2001,1992,2001,-0.0013409059876134926,0.024823558831115526,-0.04999508129659992,0.04731326932137293,-0.054017475767121285,0.9569212409200374
spec_a,H2_spatial_between,FP_between,2002-2007,2002,2007,-0.021928977192180406,0.02660420355994354,-0.07407321616966975,0.03021526178530893,-0.8242673810088282,0.4097876484356367
