model_id,component,estimate,ci_low,ci_high,se_on_log_scale,residual_sd
full_spatial,rectangle_spatial_sd,0.3116524073815057,0.010584805066403802,9.176099362941512,1.7257494895213799,0.44668588319525937
full_spatial,spatial_range,17.70513093784319,0.01872273858211474,16742.831725783006,3.4958525550603587,0.44668588319525937
simple_nonspatial,rectangle_intercept_sd,0.11854240192852358,0.10315515297084858,0.1362249063694839,NA,0.44712090718149394
