transition,year_from,year_to,mean_hours_from,mean_hours_to,abs_change,pct_change
1985-1990,1985,1990,11926.87439613526,17160.841346153837,5233.966950018577,43.88381042827593
1990-2000,1990,2000,17160.841346153837,14968.936585365856,-2191.90476078798,-12.772711527219144
2000-2010,2000,2010,14968.936585365856,8714.51231527093,-6254.424270094927,-41.782689334187346
2010-2015,2010,2015,8714.51231527093,7206,-1508.5123152709293,-17.31034693275352
1985-2015 (full period),1985,2015,11926.87439613526,7206,-4720.874396135259,-39.581823697791215
