row_id,stat_rec,year,hat,pearson_resid,cooks_approx,flag_cooks_extreme,flag_hat,flag_any
390,42F2,1985,0.0032526703164925267,-5.288900497534118,0.011447501015565879,TRUE,TRUE,TRUE
73,46E6,1985,0.03097052090340158,-1.104957773277437,0.005033567627291612,FALSE,TRUE,TRUE
1056,44E7,1987,0.002496712073508745,3.7581778398849166,0.004430007459366251,TRUE,TRUE,TRUE
7934,42E8,2007,0.007904603415045112,1.990221136978871,0.003976361849229279,FALSE,TRUE,TRUE
648,49E8,1986,0.013038126975959852,1.3565793025595507,0.003079036525705218,FALSE,TRUE,TRUE
1018,43F2,1987,0.0050892799840928015,2.144216107262477,0.0029548486749829163,FALSE,TRUE,TRUE
433,39F7,1986,0.0020351336255188222,3.3154741963351118,0.0028077843126279897,TRUE,FALSE,TRUE
713,36F5,1986,0.0010931185432707683,4.377228190996808,0.002623769261163295,TRUE,FALSE,TRUE
1237,43E8,1988,7.685290854742474e-4,-5.18742236357593,0.0025890553425049955,TRUE,FALSE,TRUE
4913,46E7,1999,0.0031704102890774796,2.5158398803572997,0.0025243503751345526,FALSE,TRUE,TRUE
10117,42E8,2014,0.007889946676925174,1.5849310638675878,0.002517011124669512,FALSE,TRUE,TRUE
1065,49E8,1987,0.010082224132668878,1.3945209937243508,0.00250102612568474,FALSE,TRUE,TRUE
9903,47E7,2014,0.0023828001371854796,-2.8470468216656957,0.0024258223443240534,FALSE,TRUE,TRUE
4453,40F4,1997,2.6450238068662145e-4,8.509186710211447,0.002395220383129554,TRUE,FALSE,TRUE
9296,45E6,2012,0.003253216239441124,-2.302384674319055,0.002169746667888309,FALSE,TRUE,TRUE
5810,35F2,2001,7.104496075898882e-4,4.9283437590391594,0.0021600439386754047,TRUE,FALSE,TRUE
7268,41E8,2005,0.0030668432969509496,2.3299957800560023,0.00209401499458158,FALSE,TRUE,TRUE
1022,43F3,1987,0.002370619362454985,2.6457411004336735,0.0020841456512458063,FALSE,TRUE,TRUE
9205,42E9,2011,0.005023164486189546,1.7534540745259313,0.00195007028232278,FALSE,TRUE,TRUE
4421,33F3,1997,6.236605227905787e-4,4.992929160637849,0.0019458571288331027,TRUE,FALSE,TRUE
227,47E7,1985,0.002534802908546348,2.3905565688027712,0.0018199386864750388,FALSE,TRUE,TRUE
5371,42E8,2000,0.00350778820312872,-2.006217624365251,0.0017772627613757835,FALSE,TRUE,TRUE
9294,46E8,2012,0.0044414897703176385,-1.7772102498701206,0.001769223582329375,FALSE,TRUE,TRUE
4460,41F3,1997,3.964965052189673e-4,5.923707462196705,0.0017405281181023468,TRUE,FALSE,TRUE
865,41E8,1987,0.004415853899797019,-1.7489392166598936,0.0017034060954096988,FALSE,TRUE,TRUE
7927,41E9,2007,0.0043692943292989225,1.7513790057042502,0.0016899934794747501,FALSE,TRUE,TRUE
4452,40F3,1997,2.802799221206548e-4,6.847605868760195,0.0016437016619566078,TRUE,FALSE,TRUE
1463,44F2,1988,9.533273965908437e-4,3.7067273024506147,0.0016404454954375538,TRUE,FALSE,TRUE
4436,36F6,1997,7.166437648328484e-4,4.258778317128153,0.0016270694851556143,TRUE,FALSE,TRUE
1047,45F0,1987,0.004667813401014988,1.6527191797516803,0.0016087388026001634,FALSE,TRUE,TRUE
9679,37F8,2013,0.0022939712238353666,-2.3555915441998314,0.0015984268239285005,FALSE,TRUE,TRUE
242,41E7,1985,0.0030451202981721156,1.9667716393150405,0.0014813965699689736,FALSE,TRUE,TRUE
391,39F3,1985,6.408094750600035e-4,-4.293024293662946,0.0014781632759523228,TRUE,FALSE,TRUE
7218,31F1,2005,8.575201093112616e-4,3.685888878785684,0.001458760363701934,TRUE,FALSE,TRUE
10070,41E9,2014,0.004251770372514611,1.6427224316850062,0.0014464689103051564,FALSE,TRUE,TRUE
1029,42F2,1987,0.002519369148278609,2.1145018545026333,0.001415171318142724,FALSE,TRUE,TRUE
535,37F1,1986,0.002737739825369211,1.9981209558906257,0.001373810930823877,FALSE,TRUE,TRUE
2249,37F8,1990,5.771289831915691e-4,4.33303387839904,0.0013560275086647764,TRUE,FALSE,TRUE
359,35F2,1985,6.668797566367928e-4,3.8784523475930928,0.001255607510644262,TRUE,FALSE,TRUE
10206,40F2,2015,8.620331260868491e-4,-3.3983853396249524,0.0012466033414017083,TRUE,FALSE,TRUE
276,38F8,1985,0.0033338156899251283,1.717434567379168,0.001237406953089387,FALSE,TRUE,TRUE
667,43F2,1986,0.00527183195734713,1.3554715264256438,0.0012236114638560975,FALSE,TRUE,TRUE
1379,49E8,1988,0.013498088277361148,0.8371726547474844,0.001215112484744678,FALSE,TRUE,TRUE
8036,39F7,2008,9.250380529179835e-4,-3.1833207834684005,0.0011739085631886931,TRUE,FALSE,TRUE
8231,37F5,2008,7.848445513825191e-4,3.437375482467615,0.0011609929580850005,TRUE,FALSE,TRUE
10053,47E7,2014,0.0023828001371854796,1.9462122125570382,0.0011335747405516103,FALSE,TRUE,TRUE
1459,42F4,1988,0.002951923843914545,1.72031250846422,0.0010984939176861576,FALSE,TRUE,TRUE
7614,42E9,2006,0.005697517897231781,1.2346283885557576,0.001098072920199972,FALSE,TRUE,TRUE
1146,36F1,1987,6.317603408611856e-4,3.7228768210230245,0.0010958941778797901,TRUE,FALSE,TRUE
10110,41E9,2014,0.004251770372514611,1.4254909550335224,0.0010892050856028345,FALSE,TRUE,TRUE
5277,41F5,2000,4.6974908907705887e-4,4.258061809364008,0.0010656338241881564,TRUE,FALSE,TRUE
245,41E9,1985,0.003132778255591398,1.6361359049269935,0.0010548817702383864,FALSE,TRUE,TRUE
1475,45E6,1988,0.0028440456942795673,1.709631809731746,0.0010450223734211881,FALSE,TRUE,TRUE
9499,37F8,2012,0.002430642917406563,1.8377017437804015,0.0010310863306696378,FALSE,TRUE,TRUE
9370,37F8,2012,0.002430642917406563,-1.816388837922673,0.0010073087890768897,FALSE,TRUE,TRUE
2512,48E7,1991,0.0034262170877288906,1.5216798071889026,9.985102536955535e-4,FALSE,TRUE,TRUE
3221,35F1,1993,4.5780697061585586e-4,4.170416567224401,9.962057073327148e-4,TRUE,FALSE,TRUE
733,39F4,1986,7.218588075972431e-4,3.303027009051638,9.858565987930072e-4,TRUE,FALSE,TRUE
10035,45E6,2014,0.0028490112316168124,1.6572034085012204,9.836349730628444e-4,FALSE,TRUE,TRUE
666,42F2,1986,0.002824027123281684,1.6457032399121356,9.614757027251469e-4,FALSE,TRUE,TRUE
5931,45F1,2002,4.460113047761266e-4,-4.150560299711773,9.612953067427983e-4,TRUE,FALSE,TRUE
7935,42E9,2007,0.003654553364946825,1.4148177668183333,9.211395934046547e-4,FALSE,TRUE,TRUE
5428,34F2,2000,4.320954979754587e-4,4.121748298483517,9.183919821673173e-4,TRUE,FALSE,TRUE
1023,43F4,1987,6.317195632501636e-4,3.4079419305005265,9.182640657869673e-4,TRUE,FALSE,TRUE
6744,40E8,2004,6.601582664171734e-4,3.307928107551131,9.041568959234959e-4,TRUE,FALSE,TRUE
1241,43E8,1988,7.685290854742474e-4,-3.0508464455696735,8.955272646045761e-4,TRUE,FALSE,TRUE
657,45E6,1986,0.006693673854149972,1.0180799788543031,8.789657482306261e-4,FALSE,TRUE,TRUE
9518,42E8,2012,0.0036516769225678676,1.376469377940269,8.711903975293931e-4,FALSE,TRUE,TRUE
10065,43F2,2014,0.003986138749853275,1.316999227080007,8.711695756839714e-4,FALSE,TRUE,TRUE
1080,38F8,1987,0.002401423932853586,1.6967238135626483,8.683394194078493e-4,FALSE,TRUE,TRUE
228,47E8,1985,0.002335966742529486,1.7153985061487231,8.632529913025021e-4,FALSE,TRUE,TRUE
9898,45E6,2014,0.0028490112316168124,-1.5401712455092278,8.496114328502938e-4,FALSE,TRUE,TRUE
68,45E6,1985,0.0057184683418668395,-1.0778453861986605,8.4000896847763e-4,FALSE,TRUE,TRUE
4089,45E6,1996,0.0028711998398172566,1.5237497545582261,8.381045743730917e-4,FALSE,TRUE,TRUE
2511,49E8,1991,0.0033177642447653043,1.3859778493383061,8.019636410021837e-4,FALSE,TRUE,TRUE
273,38F8,1985,0.0033338156899251283,1.3685311351237692,7.857086187529317e-4,FALSE,TRUE,TRUE
876,43F2,1987,0.0050892799840928015,1.1006024949988338,7.785009059815504e-4,FALSE,TRUE,TRUE
8817,47E7,2010,0.002831539330000475,1.475278672611235,7.747180451478598e-4,FALSE,TRUE,TRUE
7539,47E7,2006,0.003261285299887419,1.3412401529020384,7.381578531746973e-4,FALSE,TRUE,TRUE
7272,41F1,2005,0.002668090633623407,1.4195893366685286,6.757042015305044e-4,FALSE,TRUE,TRUE
5974,47E8,2002,0.0023595978912358036,-1.4859826747991562,6.543761267957783e-4,FALSE,TRUE,TRUE
10105,40F1,2014,0.0023936378669152532,1.4715249411930253,6.510064542613889e-4,FALSE,TRUE,TRUE
10104,40F0,2014,0.0024615751911372546,1.4407665807135352,6.418759514265825e-4,FALSE,TRUE,TRUE
225,45E6,1985,0.0057184683418668395,0.9406218925478035,6.397365352305238e-4,FALSE,TRUE,TRUE
4723,42F1,1998,0.002364773401817416,1.432611077238939,6.095545863381972e-4,FALSE,TRUE,TRUE
1306,37F1,1988,0.003160713096430408,1.2219268289336873,5.936564600314552e-4,FALSE,TRUE,TRUE
868,41E7,1987,0.0029909412851546937,-1.2451128013592458,5.830920074027682e-4,FALSE,TRUE,TRUE
7950,48F2,2007,0.002640257879708091,1.3225589982072217,5.803403954904298e-4,FALSE,TRUE,TRUE
4755,45E6,1998,0.0027871572709753647,1.250863083377048,5.481700621369986e-4,FALSE,TRUE,TRUE
241,41E8,1985,0.0028352577023984713,1.2357145005811006,5.442582353317918e-4,FALSE,TRUE,TRUE
1473,44E7,1988,0.0029496471373379124,1.1905265303180974,5.256831429049676e-4,FALSE,TRUE,TRUE
9511,41E9,2012,0.0025874147430036878,1.2671146267822677,5.219851911793724e-4,FALSE,TRUE,TRUE
9520,43E8,2012,0.0024383547085746913,1.2874792859094792,5.077008741308995e-4,FALSE,TRUE,TRUE
250,45F0,1985,0.004084438635182654,0.9908277658560752,5.053516504486091e-4,FALSE,TRUE,TRUE
254,43F2,1985,0.005136510334548078,0.8665151678186561,4.8708362722700165e-4,FALSE,TRUE,TRUE
5380,43F1,2000,0.0024214275899400606,-1.2620618588643175,4.844495527475254e-4,FALSE,TRUE,TRUE
7936,43E8,2007,0.002343213533492195,1.2689351694649689,4.738473175073911e-4,FALSE,TRUE,TRUE
3179,49E8,1993,0.004106269909811525,-0.9352896137368811,4.52713799251854e-4,FALSE,TRUE,TRUE
863,41E9,1987,0.0036019284475063674,-0.9971111827699316,4.5088575176931736e-4,FALSE,TRUE,TRUE
