model_id,estimation_method,aic,bic,logLik,n_params_reported
categorical_phase,REML,13199.889080938694,13279.701737749361,-6588.944540469347,11
continuous_linear_year,REML,13356.036418502243,13406.826291018122,-6671.018209251121,7
smooth_year_gam,REML,12749.826278022118,13810.804801785696,-6228.6861591338575,146.22697987720153
categorical_phase,ML,13133.732784434163,13213.54544124483,-6555.866392217082,11
continuous_linear_year,ML,13306.051145900712,13356.841018416591,-6646.025572950356,7
smooth_year_gam,ML,12750.268061283563,13809.372117298242,-6229.165395068126,145.96863557365572
