refit_label,variable,n,correlation,r_squared,slope,p_value,n_removed,removed_stat_rec
original (n_removed=0),mean_D,161,0.18287582933313629,0.03344356895428243,8.307490655652644e-7,0.020234525945497846,0,NA
top1_removed,mean_D,160,0.1607645738557354,0.025845248207016246,7.261681544293416e-7,0.042273918314268,1,45F0
top3_removed,mean_D,158,0.19919324017636902,0.03967794693196053,9.214068772048897e-7,0.01210268519343958,3,45F0;41E7;43F7
