phase,n_rectangle_years,pearson_r,r_squared,cor_p_value,model_fp_within_slope,model_id_for_slope,sign_disagreement,min_mean_residual,min_rectangle,min_year,min_FP_within,max_mean_residual,max_rectangle,max_year,max_FP_within
1985-1988,605,0.048761424067997314,0.002377676477139068,0.23107101629381363,0.03174240634994792,wb_primary,FALSE,-2.5248889625216755,44F0,1988,0.5092806367659559,-0.09487253584663158,35F2,1985,-0.6316506567279934
1989-2000,1825,0.05074323962458046,0.0025748763675975924,0.030184306364421917,0.0414887237978001,wb_primary,FALSE,-2.303833806921358,39F0,1995,0.7150605986033582,1.0624737037055123,40F4,1997,0.08561155952184052
2001-2007,1091,0.13570863725728818,0.018416834226230226,6.853715325145431e-6,-0.01160462151764313,wb_primary,TRUE,-2.330729344506696,45F1,2002,0.22823964033880628,0.21580572170427637,34F1,2006,-0.4111434262375351
2008-2015,1247,0.16393912224461038,0.026876035802333307,5.787146064024701e-9,0.05714081290515743,wb_primary,FALSE,-2.889969955530816,46F2,2015,1.04755507605201,0.1824565984662545,38F8,2010,1.3225888806495867
