panel,n_rectangles,n_isolated,morans_i,morans_i_p,geary_c,geary_c_p,sem_beta_hours,sem_p_hours,sem_lambda
min5,161,0,0.4930130423818925,1.2395558269060414e-32,0.4677608142843441,1.9610228910135817e-33,1.577225415571488e-7,0.8914546553579077,0.8240469168402147
min10,158,0,0.5582263490080306,5.130303247849922e-40,0.4330016938311956,1.7876639414039783e-38,-6.090974851647903e-7,0.5411904513637011,0.8584177740031406
min20,156,0,0.5726587045441875,2.2003781054141984e-41,0.41879126521665844,9.072350499252176e-40,-5.535267484406214e-7,0.5727706747127259,0.8624177089085489
