scheme,parameter,period,n_units,cv_pct_haul_count,gini_haul_count,max_min_ratio_strict,max_min_ratio_excl_zero_units,n_units_zero_hauls,n_units_used_for_correlation,pearson_r_fishing_vs_haulcount,spearman_rho_fishing_vs_haulcount
Scheme A (block merge),2x2,pre,62,60.9834001389604,0.3422194345441618,Inf,92.66666666666667,6,50,-0.04242275359795919,0.07640406291582913
Scheme A (block merge),2x2,post,62,50.190330082430734,0.27888304675287756,Inf,22.375,1,50,-0.36152756102660594,-0.14160102704797917
Scheme A (block merge),3x3,pre,34,74.86924493418937,0.41959765795971626,Inf,503,4,26,0.11219529964971113,0.19114378805605559
Scheme A (block merge),3x3,post,34,63.337774146638615,0.3561450210841246,160.5,160.5,0,26,-0.10904081706766233,0.005128205128205127
Scheme B (pressure zones),3-tier,pre,22,207.35201571155778,0.7600974179921549,533.25,533.25,0,22,0.05631105863985491,0.3155219437593142
Scheme B (pressure zones),3-tier,post,22,202.32952940506684,0.7453359214925053,Inf,70.3157894736842,1,22,0.10181949768177875,-0.12432895114155508
Scheme B (pressure zones),4-tier,pre,49,183.4471221115571,0.6476035648967979,Inf,294,3,49,0.038316031314201526,0.17461010452929251
Scheme B (pressure zones),4-tier,post,49,166.2434293225698,0.6134069286077419,Inf,374.5,1,49,0.14260575869559008,0.06672647737669417
