block,term,term_plain,hypothesis,estimate_primary,se_primary,z_primary,p_primary,estimate_car,se_car,z_car,p_car,estimate_gam,se_gam,z_gam,p_gam
parametric_fixed_effects,(Intercept),Intercept,control (intercept),-1.313535353799921,0.13240958534870179,-9.920243691880119,3.399252189624624e-23,-1.170702001318177,0.13618271150107458,-8.596553765262188,8.214564864829617e-18,-1.628107220196732,0.06066502011660298,-26.837660600250043,2.0274439335864524e-153
parametric_fixed_effects,log_hours_total,"Fishing pressure (log(hours+1)), phase 1985-1988","H2 (FP effect, reference phase 1985-1988)",-7.895518917015865e-4,0.01412150723818573,-0.05591130453600395,0.9554124652010869,-0.007620560609204845,0.014068395848457541,-0.5416794275120118,0.5880393643178645,NA,NA,NA,NA
parametric_fixed_effects,phase1989-2000,Phase 1989-2000 (vs 1985-1988),control (phase main effect),0.002027568686434236,0.13791502502805228,0.01470157936759844,0.9882702593420872,0.015426857230007909,0.13775168578367192,0.11199033349206748,0.9108310711100247,NA,NA,NA,NA
parametric_fixed_effects,phase2001-2007,Phase 2001-2007 (vs 1985-1988),control (phase main effect),-0.7393676769179327,0.13649310314967011,-5.416886713368855,6.064573862245583e-8,-0.7439189953940973,0.13605253171735995,-5.467880575273229,4.554485627426336e-8,NA,NA,NA,NA
parametric_fixed_effects,phase2008-2015,Phase 2008-2015 (vs 1985-1988),control (phase main effect),-0.3364126771069605,0.13377707860163018,-2.514725845589373,0.011912497715548571,-0.3516609012245916,0.1332511261791883,-2.6390838960092435,0.008313040541301412,NA,NA,NA,NA
parametric_fixed_effects,log_hours_total:phase1989-2000,FP x phase 1989-2000 (change in FP slope vs 1985-1988),H3 (FP x phase interaction vs reference),-0.004821752218734442,0.014669059104157027,-0.32870221494765256,0.742380779996924,-0.0062179717640081286,0.014649129312245554,-0.424460159472439,0.6712302548359078,NA,NA,NA,NA
parametric_fixed_effects,log_hours_total:phase2001-2007,FP x phase 2001-2007 (change in FP slope vs 1985-1988),H3 (FP x phase interaction vs reference),0.08929983411604762,0.014697230957068113,6.075963178159219,1.2324569030288663e-9,0.0892930747504254,0.01465193784324471,6.094284299164841,1.0992814556374183e-9,NA,NA,NA,NA
parametric_fixed_effects,log_hours_total:phase2008-2015,FP x phase 2008-2015 (change in FP slope vs 1985-1988),H3 (FP x phase interaction vs reference),0.05881774110767138,0.014520868200197962,4.05056641908433,5.1093803979311626e-5,0.05960637625975155,0.014468741322629257,4.1196656247165455,3.794226100205261e-5,NA,NA,NA,NA
phase_fp_slopes,fp_slope:1985-1988,Fishing-pressure slope in phase 1985-1988,H2 (phase-specific FP effect; GAM = mean of year slopes within phase),-7.895518917015865e-4,0.01412150723818573,-0.05591130453600395,0.9554124652010869,-0.007620560609204845,0.014068395848457541,-0.5416794275120118,0.5880393643178645,0.009702394530929376,0.014294962753050807,0.6787282134651738,0.4973100861922509
phase_fp_slopes,fp_slope:1989-2000,Fishing-pressure slope in phase 1989-2000,H2 (phase-specific FP effect; GAM = mean of year slopes within phase),-0.0056113041104360285,0.009094217274857359,-0.6170189188188315,0.5372222471183628,-0.013838532373212973,0.009155644962437788,-1.5114754263612595,0.13066736488294034,-0.004338356670006554,0.011535263911267779,-0.37609513777736786,0.706846168913316
phase_fp_slopes,fp_slope:2001-2007,Fishing-pressure slope in phase 2001-2007,H2 (phase-specific FP effect; GAM = mean of year slopes within phase),0.08851028222434604,0.007859384487468427,11.261732056177332,2.0273436170460486e-29,0.08167251414122056,0.007925114909497322,10.305530591530683,6.652355668511604e-25,0.10840780425273697,0.008883030335717074,12.203921427223838,2.962075524263338e-34
phase_fp_slopes,fp_slope:2008-2015,Fishing-pressure slope in phase 2008-2015,H2 (phase-specific FP effect; GAM = mean of year slopes within phase),0.05802818921596979,0.007100767381034054,8.172101140921955,3.030642900209215e-16,0.051985815650546705,0.0071665018266377275,7.254001590750537,4.0463536298804406e-13,0.05821962841189778,0.009191498721481926,6.3340734929146745,2.3877168846428395e-10
