stat_rec,n_hauls,mean_D,mean_size_CV,year_min_seen,year_max_seen,mean_annual_hours_total
28E9,8,0.6410168241669018,0.4609414822984345,2010,2013,NA
28F0,24,0.6449557339836426,0.28222002596288553,2007,2015,NA
29E9,11,0.515332343200146,0.6072617590892476,2009,2013,NA
29F0,30,0.6205316759087314,0.3519479331268318,2007,2015,NA
29F1,23,0.6693863987168568,0.42591151640175917,2007,2015,NA
30F0,31,0.5131489841598027,0.44692723671304396,2007,2015,NA
30F1,34,0.6387176610527306,0.3421007121536662,2007,2015,NA
31F1,54,0.622366169242838,0.4475910385843371,1992,2015,57692.5806451613
31F2,63,0.671294139785611,0.4059460518091821,1985,2015,45377.8064516129
31F3,5,0.6738134703801288,0.43440473676992397,2009,2014,21493.290322580644
32F1,76,0.6468358478097788,0.5335390809289835,1985,2015,33904.74193548387
32F2,64,0.6181198780409384,0.414737891029399,1985,2015,27952.129032258064
32F3,48,0.5849174526199684,0.563835975924958,1985,2015,29421.548387096773
33F1,62,0.7262257298302524,0.6050899012359534,1985,2015,8061.193548387096
33F2,72,0.6650326691954079,0.5531569734523635,1985,2015,25560.645161290322
33F3,82,0.6310444252233913,0.3759584372003129,1985,2015,36314.87096774193
33F4,78,0.700612925665984,0.4998868775734374,1985,2015,21881.064516129034
34F1,48,0.7145405916834969,0.6320241065554377,1985,2015,1913.354838709677
34F2,63,0.7701077657409193,0.609948575618186,1985,2015,24964.870967741936
34F3,84,0.6546688874862147,0.38111534531922986,1985,2015,21291.41935483871
34F4,89,0.6798748506034804,0.4504622351071929,1985,2015,26207
35F0,47,0.5781565464116553,0.5990250199942376,1985,2015,9326.032258064517
35F1,57,0.5388512419000882,0.5378306207032721,1985,2015,4178.612903225807
35F2,65,0.6297987468559623,0.6326565095907425,1985,2015,18517.225806451614
35F3,75,0.6723063018466627,0.6095985432502429,1985,2015,22357.548387096773
35F4,87,0.6638971514949172,0.4775079308279006,1985,2015,28272.774193548386
36F0,65,0.6115229145630969,0.5132871522421406,1985,2015,6222.709677419354
36F1,74,0.6234499876719826,0.4638176060211888,1985,2015,8523.193548387095
36F2,76,0.6442431846817732,0.5000824907015002,1985,2015,19729.354838709674
36F3,92,0.6945156827884149,0.5171453924647227,1985,2015,19164.032258064515
36F4,93,0.7045546822521391,0.5319339005452616,1985,2015,28505.064516129034
36F5,104,0.6154882426213062,0.5012642171388387,1985,2015,22188.516129032258
36F6,91,0.6865114907623874,0.5037503557037472,1985,2015,39415.967741935485
36F7,78,0.6334004010903284,0.5503969909061018,1985,2015,40873.032258064515
37E9,20,0.5519609485370437,0.5349840105470659,1985,2007,25467.806451612898
37F0,71,0.6370856257543102,0.5228587693987686,1985,2015,30485.645161290322
37F1,70,0.6138874758308687,0.47311544413578555,1985,2015,32300.032258064515
37F2,68,0.644507495991338,0.42073090478746206,1985,2015,35884.54838709677
37F3,92,0.6352403008868455,0.47934709641624634,1985,2015,14877.419354838708
37F4,90,0.621498532410887,0.5039804200065727,1985,2015,26115.90322580645
37F5,95,0.6443273551125093,0.5251858166279324,1985,2015,22124.290322580648
37F6,94,0.5984446922340059,0.5635142847354043,1985,2015,27076.870967741932
37F7,105,0.6295623258019016,0.5157947971360286,1985,2015,34432.35483870968
37F8,72,0.6640884962483752,0.5136851922662306,1985,2015,75348.7741935484
38E9,61,0.5915164526967075,0.46416156228377203,1985,2015,27225.258064516132
38F0,70,0.548018411319753,0.44722487789499593,1985,2015,12652.58064516129
38F1,69,0.6446829354765152,0.4369784314149139,1985,2015,18963.967741935485
38F2,67,0.7165524684828086,0.4755913713435061,1985,2015,9138.806451612903
38F3,72,0.6162204399203404,0.4144689618151202,1985,2015,9374.967741935483
38F4,78,0.629376496730893,0.45373446719118743,1985,2015,14545.032258064517
38F5,91,0.682654828502327,0.46733875067180153,1985,2015,10696.322580645163
38F6,99,0.5851313400447938,0.5044653403260955,1985,2015,20343.09677419355
38F7,111,0.6615427680535799,0.4997397299779441,1985,2015,22089.258064516132
38F8,40,0.6307326387949529,0.74350639752965475,1985,2015,39785.96774193548
39E8,59,0.6459602937447118,0.537093701634837,1985,2015,43329.4193548387
39E9,65,0.5507004728906936,0.5273099765658851,1985,2015,20517.064516129034
39F0,68,0.5630778032845579,0.4086055908980464,1985,2015,8435.709677419356
39F1,77,0.6512328479562501,0.4783364799443941,1985,2015,20967.41935483871
39F2,78,0.6626203030952744,0.4619858669521579,1985,2015,8257.258064516129
39F3,68,0.6348462405914295,0.4426434421953876,1985,2015,13628.096774193551
39F4,82,0.6317022315188514,0.3930491851849756,1985,2015,14620.483870967742
39F5,78,0.6907682571377802,0.40331405770275713,1985,2015,14405.935483870966
39F6,87,0.6207882138246489,0.5110058950697492,1985,2015,39363.32258064517
39F7,101,0.653171114746372,0.4871757627386129,1985,2015,34737.903225806454
39F8,43,0.6354621351888503,0.7347303548201987,1986,2015,39971.67741935483
40E8,61,0.5327189340590239,0.5369813226638984,1985,2015,9065.741935483868
40E9,67,0.5338000014629104,0.4666405477319345,1985,2015,2898.7096774193546
40F0,69,0.5479968062325369,0.439920810321704,1985,2015,2981.0967741935483
40F1,74,0.5456870979065425,0.47491884345340496,1985,2015,3414.548387096775
40F2,72,0.6029702287506826,0.4217761385455605,1985,2015,3971.903225806452
40F3,77,0.6093791544738499,0.4490252880018545,1985,2015,6627.903225806451
40F4,79,0.6462539074083257,0.4422138927627963,1985,2015,12276.096774193551
40F5,66,0.6228758945545924,0.45293596524783436,1985,2015,24791.58064516129
40F6,70,0.6159480601645507,0.5880946181393383,1985,2015,18988
40F7,74,0.6091356077744179,0.5544650186115835,1985,2015,29519.645161290326
40G2,8,0.7558864429827011,0.3632913122879154,2004,2010,NA
41E7,67,0.554905410818395,0.44863366500392643,1985,2015,43508.967741935485
41E8,72,0.5869318651058378,0.5383930545990051,1985,2015,4747.806451612904
41E9,68,0.4953836540317804,0.4971919264598411,1985,2015,1729.451612903226
41F0,67,0.5631625312586692,0.41346759568780383,1985,2015,3412.7419354838707
41F1,64,0.5489304273847664,0.44098839430240844,1985,2015,2753.903225806452
41F2,62,0.6025980861629326,0.48583745302714026,1985,2015,2919
41F3,63,0.5662382304890887,0.3994157368297096,1985,2015,5224.064516129033
41F4,79,0.6693356150732906,0.39034699126677336,1985,2015,7233.5161290322585
