variable,stat_rec,n_years_paired,correlation,p_value
D vs fishing_hours,43E8,30,-0.2327462096315102,0.21582044853693794
D vs fishing_hours,43E9,31,-0.27044111513406033,0.1411683551174507
D vs fishing_hours,43F0,31,0.05458722362929644,0.770549250559795
D vs fishing_hours,43F1,31,0.1349784602262274,0.46908531982570767
D vs fishing_hours,43F2,31,0.14861938943088523,0.4249174058707469
D vs fishing_hours,43F3,31,-0.06847386256624943,0.7143580842463977
D vs fishing_hours,43F4,31,-0.4245040031351442,0.017302331610661602
D vs fishing_hours,43F5,30,-0.3227972787743451,0.08188965794463313
D vs fishing_hours,43F6,31,0.012700573519610675,0.9459365133215027
D vs fishing_hours,43F7,31,-0.12523634462407188,0.5020405682029896
D vs fishing_hours,44E6,31,-0.024376110405023275,0.8964380839792995
D vs fishing_hours,44E7,31,-0.47802166953890435,0.006531308906468339
D vs fishing_hours,44E8,31,-0.13284180781932037,0.4762145073806172
D vs fishing_hours,44E9,31,-0.5112556266957933,0.0032887440880454907
D vs fishing_hours,44F0,31,-0.065049833861734,0.7280902055521461
D vs fishing_hours,44F1,31,-0.3222813182039352,0.07703277251592242
D vs fishing_hours,44F2,31,-0.11747366417757256,0.5291052240770773
D vs fishing_hours,44F3,31,0.011919232143552972,0.949258117693875
D vs fishing_hours,44F4,31,0.12608512964304502,0.4991239833465766
D vs fishing_hours,44F5,31,-0.22163873833898573,0.23080244680780504
D vs fishing_hours,45E6,31,-0.11842507256785881,0.5257507545730126
D vs fishing_hours,45E7,31,-0.073040789514042,0.6961785103560616
D vs fishing_hours,45E8,31,-0.008659027914597906,0.9631261481310005
D vs fishing_hours,45E9,31,-0.16017292198213331,0.3893846223836118
D vs fishing_hours,45F0,31,-0.11885189636771577,0.5242492167164345
D vs fishing_hours,45F1,31,-0.33096441519803166,0.06896541538603373
D vs fishing_hours,45F2,31,0.23502925966131197,0.20311411166238674
D vs fishing_hours,45F3,31,-0.01991553247967407,0.9153137063324488
D vs fishing_hours,45F4,31,0.022150183755430333,0.9058511389364587
D vs fishing_hours,46E6,11,-0.6300493978485626,0.03773312688444198
D vs fishing_hours,46E7,31,-0.15014467986894214,0.4201263213550971
D vs fishing_hours,46E8,31,-0.24063219362622376,0.19223882073704124
D vs fishing_hours,46E9,31,-0.15800227478249476,0.3959262982362255
D vs fishing_hours,46F0,31,-0.16463858970592135,0.3761240141225878
D vs fishing_hours,46F1,31,-0.14787444026146188,0.427268304681258
D vs fishing_hours,46F2,31,0.21133010340733777,0.25377403697590944
D vs fishing_hours,46F3,31,-0.07018954873098418,0.7075097987496017
D vs fishing_hours,47E6,10,0.055061383559450505,0.8799177249206345
D vs fishing_hours,47E7,29,0.36877030916889686,0.049005776246100946
D vs fishing_hours,47E8,31,0.0013414038604320168,0.9942858462893287
D vs fishing_hours,47E9,31,-0.3952309972519485,0.027764463540068906
D vs fishing_hours,47F0,31,-0.17180047655794833,0.35541715315712163
D vs fishing_hours,47F1,31,0.07236709557560735,0.6988501953211719
D vs fishing_hours,47F2,30,-0.12053942980046142,0.5257624682812645
D vs fishing_hours,47F3,31,0.0515241099085015,0.7831103527154462
D vs fishing_hours,48E7,23,-0.22702702091004284,0.2975288927701123
D vs fishing_hours,48E8,27,0.11916919369721275,0.5538260565139097
D vs fishing_hours,48E9,31,-0.4188010577533194,0.019031516037672315
D vs fishing_hours,48F0,31,-0.11375975015799804,0.5422975991319476
D vs fishing_hours,48F1,31,0.12811095534474412,0.4921974894133997
D vs fishing_hours,48F2,31,0.08764834382679927,0.6391731285435784
D vs fishing_hours,48F3,31,0.046178688316762286,0.805157693565451
D vs fishing_hours,49E7,6,0.40776319968667973,0.422254762689832
D vs fishing_hours,49E8,26,-0.3088566050033352,0.12472818665960937
