stat_rec,comparison,decade_from,decade_to,value_from,value_to,abs_change,pct_change
38F2,decade2_minus_decade1,1985-1994,1995-2004,13033,12248.1,-784.8999999999996,-6.022404665080946
38F3,decade2_minus_decade1,1985-1994,1995-2004,13829.6,12040.8,-1788.800000000001,-12.934575114247709
38F4,decade2_minus_decade1,1985-1994,1995-2004,19356.1,19943.3,587.2000000000007,3.033668972571958
38F5,decade2_minus_decade1,1985-1994,1995-2004,12084.7,13879.7,1795,14.853492432580039
38F6,decade2_minus_decade1,1985-1994,1995-2004,25014.5,26238.7,1224.2000000000007,4.8939615023286525
38F7,decade2_minus_decade1,1985-1994,1995-2004,30219.8,20769.6,-9450.2,-31.271550440439718
38F8,decade2_minus_decade1,1985-1994,1995-2004,4050.5,63421.3,59370.8,1465.7647204048883
39E8,decade2_minus_decade1,1985-1994,1995-2004,73393,33611.3,-39781.7,-54.20367064978948
39E9,decade2_minus_decade1,1985-1994,1995-2004,22712.1,26953.2,4241.100000000002,18.673306299285414
39F0,decade2_minus_decade1,1985-1994,1995-2004,17492.9,6248.8,-11244.100000000002,-64.27807853471981
39F1,decade2_minus_decade1,1985-1994,1995-2004,30147.6,22665.6,-7482,-24.817895951916572
39F2,decade2_minus_decade1,1985-1994,1995-2004,12762,10227.9,-2534.1000000000004,-19.856605547719795
39F3,decade2_minus_decade1,1985-1994,1995-2004,19124.4,17966.7,-1157.7000000000007,-6.053523247788169
39F4,decade2_minus_decade1,1985-1994,1995-2004,21556.5,18838.4,-2718.0999999999985,-12.60918980353953
39F5,decade2_minus_decade1,1985-1994,1995-2004,19834.6,16465.7,-3368.899999999998,-16.98496566605829
39F6,decade2_minus_decade1,1985-1994,1995-2004,49576.1,52284.6,2708.5,5.463318010089539
39F7,decade2_minus_decade1,1985-1994,1995-2004,53657,37682.4,-15974.599999999999,-29.77169800771567
39F8,decade2_minus_decade1,1985-1994,1995-2004,17754.6,51606.3,33851.700000000004,190.66439120002707
40E6,decade2_minus_decade1,1985-1994,1995-2004,55.6,45.8,-9.800000000000004,-17.62589928057555
40E7,decade2_minus_decade1,1985-1994,1995-2004,23114.3,15265.3,-7849,-33.95733377173438
40E8,decade2_minus_decade1,1985-1994,1995-2004,20111.7,6304.2,-13807.5,-68.65406703560613
