model_id,optimizer_convergence_code,optimizer_message,hessian_positive_definite,max_abs_gradient,any_na_std_error,diagnose_output
full_spatial,0,relative convergence (4),TRUE,2.9943418677119784e-6,FALSE,"Unusually large Z-statistics (|x|>5): |  | disp~(Intercept)  |        -115.8878  |  | Large Z-statistics (estimate/std err) suggest a *possible* failure of | the Wald approximation - often also associated with parameters that are | at or near the edge of their range (e.g. random-effects standard | deviations approaching 0).  (Alternately, they may simply represent | very well-estimated parameters; intercepts of non-centered models may | fall in this category.) While the Wald p-values and standard errors | listed in summary() may be unreliable, profile confidence intervals | (see ?confint.glmmTMB) and likelihood ratio test p-values derived by | comparing models (e.g. ?drop1) are probably still OK.  (Note that the | LRT is conservative when the null value is on the boundary, e.g. a | variance or zero-inflation value of 0 (Self and Liang 1987; Stram and | Lee 1994; Goldman and Whelan 2000); in simple cases these p-values are | approximately twice as large as they should be.) |  | "
simple_nonspatial,0,relative convergence (4),TRUE,9.756416597678725e-4,FALSE,"Unusually large Z-statistics (|x|>5): |  |   disp~(Intercept) theta_1|stat_rec.1  |         -115.48934          -30.06111  |  | Large Z-statistics (estimate/std err) suggest a *possible* failure of | the Wald approximation - often also associated with parameters that are | at or near the edge of their range (e.g. random-effects standard | deviations approaching 0).  (Alternately, they may simply represent | very well-estimated parameters; intercepts of non-centered models may | fall in this category.) While the Wald p-values and standard errors | listed in summary() may be unreliable, profile confidence intervals | (see ?confint.glmmTMB) and likelihood ratio test p-values derived by | comparing models (e.g. ?drop1) are probably still OK.  (Note that the | LRT is conservative when the null value is on the boundary, e.g. a | variance or zero-inflation value of 0 (Self and Liang 1987; Stram and | Lee 1994; Goldman and Whelan 2000); in simple cases these p-values are | approximately twice as large as they should be.) |  | "
