stat_rec,random_intercept,n_hauls,unpooled_intercept,model_id,shrinkage_ratio
47E6,-0.006152220902692376,16,-0.05961377429741535,car_adjacency,0.10320133182641171
46E6,0.019519367670063997,18,0.09138375159550063,car_adjacency,0.2135977931444987
37E9,0.011250219156024813,20,0.004708545904536208,car_adjacency,2.3893192047222827
48E7,0.13043224812170415,31,0.25391702215642936,car_adjacency,0.5136805993311839
50E8,0.09384963016986315,33,0.15790259552788868,car_adjacency,0.5943514092096572
51E8,0.12458919267218495,39,0.1975747731244461,car_adjacency,0.630592614137586
49E8,-0.007664295108699316,39,-0.02577741176894762,car_adjacency,0.2973260146285127
38F8,-0.1837343745983634,40,-0.21219475209668587,car_adjacency,0.865876148127572
39F8,-0.14526129965424628,43,-0.16840459614094455,car_adjacency,0.8625732490856204
50E9,0.04141896509265761,45,0.052915381702258124,car_adjacency,0.7827396072792591
49E9,-0.07631003630929689,45,-0.09965700228134576,car_adjacency,0.765726788508678
51E9,0.11103486750227128,47,0.15276002016344184,car_adjacency,0.7268581621256154
35F0,0.07394575931893103,47,0.10299161117191498,car_adjacency,0.7179784690958935
48E8,0.018921537851668717,48,0.03597194508353951,car_adjacency,0.5260081935443371
42E7,0.11367524535660775,48,0.15462479966929205,car_adjacency,0.7351682627866535
32F3,-0.007586850751696239,48,-0.007902146737609458,car_adjacency,0.9600999581021952
34F1,0.16014551300286078,48,0.23345165839629922,car_adjacency,0.6859900422339407
51F2,0.057621195274818515,53,0.09015968622428455,car_adjacency,0.6391015506806214
51F1,0.03495448410335196,53,0.045861839547568485,car_adjacency,0.7621692554895606
51F0,0.13328316307240673,53,0.2007090117000953,car_adjacency,0.6640616778660738
50F3,0.01401116203507447,54,0.025345908309029615,car_adjacency,0.5527977874867842
31F1,0.005382221244477536,54,-9.745676756332985e-4,car_adjacency,-5.522675724884917
47E7,0.05941773903978857,55,0.09233626215147119,car_adjacency,0.6434930075718023
50F1,-0.024010381314359133,56,-0.02272350923318776,car_adjacency,1.0566317494347173
50F2,-0.01220768041066232,56,-0.008478959977242012,car_adjacency,1.4397615324790298
48F3,-0.05301763554131693,57,-0.05411171098848834,car_adjacency,0.9797811707080532
46E7,-0.04432770656412214,57,-0.045083867294026685,car_adjacency,0.9832276870798807
35F1,0.01808364801117087,57,0.013580450740559505,car_adjacency,1.3315940948235299
47F3,-0.0496491668367326,58,-0.03588809154730367,car_adjacency,1.3834440533370413
49F0,-0.15964403761846382,58,-0.19669355507471742,car_adjacency,0.8116383760404366
