phase,car_coef,car_se,car_lo,car_hi,car_spatially_confounded,bym_coef,bym_se,bym_lo,bym_hi,coef_diff_bym_minus_car,bym_confounded_status
1985-1991,-0.06279682776253351,0.01591724189631814,-0.09399462187931708,-0.03159903364574994,TRUE,-0.06279668651017886,0.01591722052530937,-0.09399443873978523,-0.03159893428057249,1.4125235464623742e-7,not re-tested; FE <e2><89><88> CAR <e2><87><92> same pattern implied
1992-2001,-0.02435219471754355,0.01471918223170842,-0.05320179189169206,0.00449740245660495,TRUE,-0.02435205480115865,0.014719158623703626,-0.05320160570361776,0.004497496101300458,1.3991638489821434e-7,not re-tested; FE <e2><89><88> CAR <e2><87><92> same pattern implied
2002-2007,0.08411213959458938,0.01591950705119196,0.05290990577425314,0.11531437341492562,TRUE,0.08411227929452048,0.01591948533500584,0.05291008803790903,0.11531447055113192,1.3969993109541612e-7,not re-tested; FE <e2><89><88> CAR <e2><87><92> same pattern implied
2008-2015,0.01325559574087875,0.01511417069914274,-0.01636817882944101,0.04287937031119852,FALSE,0.01325573915111923,0.015114147102278873,-0.01636798916934736,0.042879467471585817,1.4341024048153406e-7,not re-tested; FE <e2><89><88> CAR <e2><87><92> same pattern implied
