model_id,year,year_start,year_end,phase,fp_slope,fp_slope_se,fp_slope_lo,fp_slope_hi
categorical_phase,1985,1985,1988,1985-1988,-7.895518917015865e-4,0.01412150723818573,-0.028467706078545617,0.026888602295142443
categorical_phase,1986,1985,1988,1985-1988,-7.895518917015865e-4,0.01412150723818573,-0.028467706078545617,0.026888602295142443
categorical_phase,1987,1985,1988,1985-1988,-7.895518917015865e-4,0.01412150723818573,-0.028467706078545617,0.026888602295142443
categorical_phase,1988,1985,1988,1985-1988,-7.895518917015865e-4,0.01412150723818573,-0.028467706078545617,0.026888602295142443
categorical_phase,1989,1989,2000,1989-2000,-0.0056113041104360285,0.009094217274857359,-0.023435969969156454,0.012213361748284395
categorical_phase,1990,1989,2000,1989-2000,-0.0056113041104360285,0.009094217274857359,-0.023435969969156454,0.012213361748284395
categorical_phase,1991,1989,2000,1989-2000,-0.0056113041104360285,0.009094217274857359,-0.023435969969156454,0.012213361748284395
categorical_phase,1992,1989,2000,1989-2000,-0.0056113041104360285,0.009094217274857359,-0.023435969969156454,0.012213361748284395
categorical_phase,1993,1989,2000,1989-2000,-0.0056113041104360285,0.009094217274857359,-0.023435969969156454,0.012213361748284395
categorical_phase,1994,1989,2000,1989-2000,-0.0056113041104360285,0.009094217274857359,-0.023435969969156454,0.012213361748284395
categorical_phase,1995,1989,2000,1989-2000,-0.0056113041104360285,0.009094217274857359,-0.023435969969156454,0.012213361748284395
categorical_phase,1996,1989,2000,1989-2000,-0.0056113041104360285,0.009094217274857359,-0.023435969969156454,0.012213361748284395
categorical_phase,1997,1989,2000,1989-2000,-0.0056113041104360285,0.009094217274857359,-0.023435969969156454,0.012213361748284395
categorical_phase,1998,1989,2000,1989-2000,-0.0056113041104360285,0.009094217274857359,-0.023435969969156454,0.012213361748284395
categorical_phase,1999,1989,2000,1989-2000,-0.0056113041104360285,0.009094217274857359,-0.023435969969156454,0.012213361748284395
categorical_phase,2000,1989,2000,1989-2000,-0.0056113041104360285,0.009094217274857359,-0.023435969969156454,0.012213361748284395
categorical_phase,2001,2001,2007,2001-2007,0.08851028222434604,0.007859384487468427,0.07310588862890792,0.10391467581978416
categorical_phase,2002,2001,2007,2001-2007,0.08851028222434604,0.007859384487468427,0.07310588862890792,0.10391467581978416
categorical_phase,2003,2001,2007,2001-2007,0.08851028222434604,0.007859384487468427,0.07310588862890792,0.10391467581978416
categorical_phase,2004,2001,2007,2001-2007,0.08851028222434604,0.007859384487468427,0.07310588862890792,0.10391467581978416
