model_id,term,estimate,std_error,statistic,p_value
full_spatial,(Intercept),1.1655620375414146,0.3395399924421362,3.432768049378006,5.974529817383871e-4
full_spatial,log_hours_total,-0.01073084557685028,0.013696446272912423,-0.7834766305821068,0.43334727170254494
full_spatial,phase1989-2000,0.030883418234244495,0.13708537528905634,0.2252860173386413,0.8217567766457391
full_spatial,phase2001-2007,-0.7322008200854213,0.13486856085058324,-5.428995575155608,5.667208892795705e-8
full_spatial,phase2008-2015,-0.34334518568627587,0.1317548888248713,-2.6059388668503267,0.009162281297445427
full_spatial,mean_ln_B_obs,-0.19743349646118452,0.015232485416077648,-12.96134485399189,2.0266295484647759e-38
full_spatial,log_hours_total:phase1989-2000,-0.007824362289380096,0.014575483995332745,-0.5368166362012785,0.5913942790182114
full_spatial,log_hours_total:phase2001-2007,0.08773511421641716,0.014529765292182263,6.038302233527683,1.557441528204558e-9
full_spatial,log_hours_total:phase2008-2015,0.05809121164943125,0.014327078028628487,4.054644745659436,5.021055189830502e-5
simple_nonspatial,(Intercept),0.613508136689245,0.21636655490656678,2.8355035599387124,0.004575350515195274
simple_nonspatial,log_hours_total,-0.014865463181557114,0.013939568376208467,-1.0664220570078002,0.2862328952647249
simple_nonspatial,phase1989-2000,0.058346890031950836,0.13774921233561102,0.4235733115467475,0.671877022442688
simple_nonspatial,phase2001-2007,-0.7239521467656406,0.13596564488317517,-5.324522583537018,1.0121852693393185e-7
simple_nonspatial,phase2008-2015,-0.34075119848119156,0.13304022679741437,-2.5612644136578853,0.010429194737337116
simple_nonspatial,mean_ln_B_obs,-0.1518283884093026,0.0136354310324716,-11.13484333921945,8.489414354086327e-29
simple_nonspatial,log_hours_total:phase1989-2000,-0.010187704589156082,0.014647900245778252,-0.6955061420555709,0.4867381633734594
simple_nonspatial,log_hours_total:phase2001-2007,0.08722299707568111,0.014643217924907066,5.95654572123256,2.576250618727491e-9
simple_nonspatial,log_hours_total:phase2008-2015,0.05785623510447651,0.014452392277283078,4.003228946076806,6.248378134249733e-5
