n_breaks,rss,bic,is_bic_optimal
0,149853216.90042138,575.4027187210766,FALSE
1,17168053.91519476,518.5398963596975,FALSE
2,8783628.05539003,508.066873610849,FALSE
3,3421204.5276452145,489.13903286446043,FALSE
4,2358671.551550403,487.91227640238367,TRUE
5,1980345.8589721532,492.7945993740028,FALSE
6,1825643.66835784,500.5750555258574,FALSE
