term,vif,r_squared_others,n
FP_between,3.1305902719660246,0.68057142164056,4768
FP_within,1.0255374525856489,0.024901530920457566,4768
FP_between_lag,3.641134217427444,0.7253603025085612,4768
B_lag_neighbour,1.4567937340426482,0.31356102334064223,4768
