variable,max_abs_diff,at_fishing_hours,linear_fitted_at_max,loess_fitted_at_max,loess_span,n_grid_points,n
mean_D,0.044346671981629227,1095.1290322580646,0.6111120255515319,0.5667653535699027,0.75,200,161
mean_size_CV,0.04291202722818094,75348.7741935484,0.5337802795993096,0.4908682523711287,0.75,200,161
