variable,n_dropped,n_retained,mean_dropped,mean_retained,t_statistic,t_p_value,wilcox_statistic,wilcox_p_value
mean_D,26,161,0.5883190938427638,0.6224623621975165,-2.377666291616279,0.023740914119626456,1477,0.016239946008137735
mean_size_CV,26,161,0.5009250093042582,0.5026681793163917,-0.08681576751073711,0.9313788592615067,2203,0.6689506043319453
