stat_rec,n_hauls,mean_abs_residual,mean_annual_hours_total,cooks_distance,leverage,flagged_cooks
37F8,72,1.3121988691193727,75348.7741935484,0.10408939346876996,0.1428147366139242,TRUE
34F1,48,0.7549373656330052,1913.354838709677,0.0722631079291432,0.012552689992143548,TRUE
32F1,76,0.9023098338200656,33904.74193548387,0.04105683654816441,0.019882822100218873,TRUE
33F1,62,0.7761099459055291,8061.193548387096,0.040042336642612114,0.008039481121782219,TRUE
43F7,62,1.002647451734097,42260.516129032265,0.030152076726779588,0.03436295024733989,TRUE
39F6,87,1.4624507199816525,39363.32258064517,0.027133473647680064,0.028752821559507744,TRUE
37F7,105,1.518477945584527,34432.35483870968,0.026874901569107816,0.020643205833723286,TRUE
42F7,69,0.9506225694040544,30018.290322580648,0.024192846084438148,0.014921159689545611,FALSE
31F2,63,1.3793740605462073,45377.8064516129,0.020127808156740753,0.041098083754474234,FALSE
32F3,48,0.9734003312634266,29421.548387096773,0.020014519816416526,0.014259039625693323,FALSE
46F2,70,1.6272402914616482,1529.2903225806454,0.018915736068662984,0.012928140076318971,FALSE
34F2,63,0.9481174705556207,24964.870967741936,0.018087555783355625,0.010153515908600627,FALSE
33F2,72,0.9619211320372743,25560.645161290322,0.01716454193791091,0.010616613336983712,FALSE
40F4,79,0.9138783798714769,12276.096774193551,0.017119088778790155,0.0065732313126458854,FALSE
35F0,47,0.9496248775968344,9326.032258064517,0.016813289665365768,0.007460403064109349,FALSE
47E8,62,1.6155599398239708,2219.290322580645,0.016734439114221903,0.012261484489735111,FALSE
35F1,57,1.0240746861321095,4178.612903225807,0.016673218419007766,0.010561925176871547,FALSE
48F0,67,1.6378003482004342,5167.774193548387,0.0163429413678847,0.009812609847307667,FALSE
46E8,68,1.6403719956648732,5708.4516129032245,0.016109901370006504,0.009433862208225108,FALSE
39F8,43,1.0612759229015805,39971.67741935483,0.015131939429383089,0.029878941979332854,FALSE
48F1,65,1.5845971658026885,1547.5806451612905,0.013779084123932259,0.012910010644618265,FALSE
38F8,40,1.0702192080832815,39785.96774193548,0.013489389666447762,0.029532250934545843,FALSE
46E7,57,1.5760448724470437,1179.6774193548385,0.013117348202534957,0.013279471674897373,FALSE
