comparison_id,spatial_spec,model_id,log_likelihood,aic,spatial_param,spatial_param_name,n,sem_aic,sem_loglik,aic_delta_sar_minus_sem,loglik_delta_sar_minus_sem
primary_hours_only,sem,sem_primary_abs,113.15067652084855,-218.3013530416971,0.8584177740031406,lambda,158,-218.3013530416971,113.15067652084855,NA,NA
primary_hours_only,sar_lag,sar_lag_primary_abs,113.19158516191676,-218.38317032383353,0.8536976196880485,rho,158,-218.3013530416971,113.15067652084855,-0.08181728213642714,0.04090864106821357
biomass_covariate,sem,sem_biomass_covariate,179.48545796731742,-348.97091593463483,0.886990100075331,lambda,158,-348.97091593463483,179.48545796731742,NA,NA
biomass_covariate,sar_lag,sar_lag_biomass_covariate,152.08567099028255,-294.1713419805651,0.660615724001221,rho,158,-348.97091593463483,179.48545796731742,54.79957395406973,-27.399786977034864
