stat_rec,random_intercept,n_hauls,unpooled_intercept,model_id,shrinkage_ratio
47E6,-0.06403455122335089,16,-0.09355905870205501,primary_plain_re,0.684429194903223
46E6,0.0811364481651712,18,0.10829544449686539,primary_plain_re,0.7492138615998727
37E9,0.006523199977392944,20,0.017847578757569017,primary_plain_re,0.3654949540215087
48E7,0.19037386941759088,31,0.2302239645496315,primary_plain_re,0.8269072674080817
50E8,0.11580413572512045,33,0.14295609499312129,primary_plain_re,0.810067844471358
49E8,-0.12644566611018918,39,-0.15229355710416828,primary_plain_re,0.8302758732183316
51E8,0.11955540949169663,39,0.14528380622408996,primary_plain_re,0.8229093978119688
38F8,0.13578514923106408,40,0.169775677672947,primary_plain_re,0.7997915313443089
39F8,0.15019365202126478,43,0.18924990642284165,primary_plain_re,0.7936260305761348
49E9,-0.20919430526005361,45,-0.24007115462565445,primary_plain_re,0.8713845925648692
50E9,0.055964058378560895,45,0.07190864313149144,primary_plain_re,0.778266087933624
35F0,0.3011745429326623,47,0.35147837136472254,primary_plain_re,0.8568793060103808
51E9,0.07762704880831924,47,0.09398543276071121,primary_plain_re,0.8259476658043301
32F3,0.1836659181724917,48,0.2172827412443908,primary_plain_re,0.8452853508779685
34F1,0.5911183178839663,48,0.6769806421953454,primary_plain_re,0.8731687156770973
42E7,0.2302540778766294,48,0.2677739814326021,primary_plain_re,0.8598821911104296
48E8,-0.13736963449536507,48,-0.15527524017256114,primary_plain_re,0.8846847336555581
51F0,0.14777755730551306,53,0.1707791033510537,primary_plain_re,0.8653140484157559
51F1,-0.028129652696850346,53,-0.027641987832809214,primary_plain_re,1.017642177798165
51F2,0.02388213830344839,53,0.033250627015194455,primary_plain_re,0.7182462541995082
31F1,0.00678502533747046,54,0.016023041545161036,primary_plain_re,0.42345426855112533
50F3,-0.04782334761211217,54,-0.05053142592538145,primary_plain_re,0.9464080369062168
47E7,-0.03826767417015146,55,-0.047705680776265434,primary_plain_re,0.8021617875997363
50F1,-0.1343295756382216,56,-0.14872458717153716,primary_plain_re,0.9032102774189412
50F2,-0.03236493172797916,56,-0.03362289260010674,primary_plain_re,0.962586179390063
35F1,0.2699132598851299,57,0.3050192195539571,primary_plain_re,0.8849057455455948
46E7,-0.15373966160634617,57,-0.17721183007391741,primary_plain_re,0.8675473953528909
