stat_rec,random_intercept,n_hauls,unpooled_intercept,model_id,shrinkage_ratio
47E6,0.03181160776631597,16,-0.04182669813396776,full_spatial,-0.7605574713171426
46E6,-0.0014897475721489715,18,0.07955095225662698,full_spatial,-0.018726960895994408
37E9,0.043649654856272806,20,0.07839395827266513,full_spatial,0.5567987102329138
48E7,0.16496607028264973,31,0.2272388691986312,full_spatial,0.7259588593466008
50E8,0.1331011588445701,33,0.18911008543003277,full_spatial,0.7038289816320509
49E8,0.06425930308336322,39,-0.029337264684513,full_spatial,-2.1903644997035254
51E8,0.18037289249956776,39,0.2418484980782093,full_spatial,0.745809438275852
38F8,-0.29334807321935646,40,-0.1501965296233124,full_spatial,1.953094881453407
39F8,-0.26105897363653274,43,-0.09180489577630786,full_spatial,2.8436280160115857
49E9,-0.03635472152798482,45,-0.06919598979832958,full_spatial,0.5253876941993312
50E9,0.04811819530616052,45,0.10525294563602287,full_spatial,0.4571672081516743
51E9,0.1391332534311478,47,0.18837462503225375,full_spatial,0.7385987014297983
35F0,0.04928985994160327,47,0.14523397748072048,full_spatial,0.3393824282485578
42E7,0.04307846507573364,48,0.177314243952189,full_spatial,0.24294982803157827
48E8,0.05971515434780771,48,0.04759378213031643,full_spatial,1.2546839455688092
34F1,0.0915754909694332,48,0.2212419867422384,full_spatial,0.41391551539502636
32F3,-0.06956012448649228,48,0.062419976127000676,full_spatial,-1.1143888351537357
51F0,0.13358427670584505,53,0.21945492568233788,full_spatial,0.6087094025823279
51F2,0.07329394874689725,53,0.13532492848393918,full_spatial,0.541614538932463
51F1,0.06143788246818504,53,0.07729682147009909,full_spatial,0.7948306450343654
50F3,0.03916273972602655,54,0.05535998982954982,full_spatial,0.7074195614306712
31F1,0.021133276567526487,54,0.0910124446074247,full_spatial,0.23220205389145712
47E7,0.09738930516812577,55,0.05905628832560299,full_spatial,1.649092889671227
50F1,-0.01426571655222151,56,-0.0034196040600980465,full_spatial,4.171745120636126
50F2,-0.0024882928625779683,56,0.017003534031246593,full_spatial,-0.1463397466670958
46E7,-0.0080923668486297291,57,-0.07754634281493109,full_spatial,0.10435523526805951
48F3,-0.03440400171672488,57,-0.003995876851721014,full_spatial,8.609875377392365
35F1,-7.203323528172866e-4,57,0.028616830596380517,full_spatial,-0.02517163284002509
45E7,-0.09565296693972833,58,-0.10987359606768189,full_spatial,0.8705728251654411
49F0,-0.13216554776637496,58,-0.14398271893474293,full_spatial,0.9179264618990571
47F3,-0.054099083760875806,58,0.015535941500200892,full_spatial,-3.4821889462042748
39E8,0.07177596555576142,59,0.2000103999514076,full_spatial,0.3588611670853083
42F1,-0.015026893470138018,59,-0.08808301136009206,full_spatial,0.1705992249595849
50F0,-0.012439354785569581,59,-0.012497384846047973,full_spatial,0.9953566237102203
42E8,0.141973489275554,60,0.17893264117776733,full_spatial,0.7934465636960286
43F0,-0.006168166450699114,60,-0.04398366275772541,full_spatial,0.14023767153443176
42F0,0.009285550496714055,60,-0.027930300994956893,full_spatial,-0.3324543655433809
45E6,-0.07978395725140491,60,-0.10497169242029455,full_spatial,0.7600521189270641
49F3,0.007698174273732691,60,0.05835988189195102,full_spatial,0.13190866780685553
49F2,-0.0771552946939256,60,-0.10006566110117485,full_spatial,0.7710466692056835
48F2,-0.09233039958175512,60,-0.06871448072355928,full_spatial,1.3436818354664355
47F2,-0.16102366679007646,60,-0.18554887678354157,full_spatial,0.8678234521350628
45F4,0.042292941779758716,61,0.12948974337550842,full_spatial,0.3266122912693792
38E9,0.07081373086125355,61,0.14953182577026836,full_spatial,0.47356962637537425
40E8,0.04733238827790054,61,0.061585720942918365,full_spatial,0.7685610812573139
44E6,-0.1763942595634206,61,-0.18565450445040316,full_spatial,0.9501210869383653
48E9,-0.055660366081561115,61,-0.07547401139193216,full_spatial,0.7374772462075729
49F1,-0.11944548797803131,61,-0.12814151620521683,full_spatial,0.9321373081518799
43F5,0.012321973232366928,62,0.05440813193575184,full_spatial,0.22647300677254278
41F2,0.07144108374871493,62,0.1127886773673745,full_spatial,0.6334065210820544
47E8,0.020949335399180233,62,-0.02926445773560597,full_spatial,-0.7158627570840393
43F7,0.022579983966257194,62,0.1718216111096177,full_spatial,0.1314152732036237
33F1,0.12889584340692642,62,0.2773831250952158,full_spatial,0.46468523765705305
41F3,0.1297983769302236,63,0.242221978890645,full_spatial,0.5358653972058546
43F1,-0.02026800411485882,63,-0.038548639123189975,full_spatial,0.5257774223906663
47E9,-0.03766570194657423,63,-0.0034602548007002226,full_spatial,10.885239416170203
34F2,-0.02272638531553305,63,0.13452190285534493,full_spatial,-0.16894189595259704
41F6,-0.07338150000619428,63,0.05965627855636024,full_spatial,-1.230071700447542
31F2,-0.03475928672330408,63,0.03545141562710589,full_spatial,-0.980476692071145
41F1,0.07225160713291733,64,0.10499540471536727,full_spatial,0.6881406603344659
44F1,-0.037653462256460775,64,-0.07293996035674924,full_spatial,0.5162254280410593
44E8,-0.03983543379348113,64,-0.05753372584773025,full_spatial,0.6923840444283111
43F6,9.164134713604569e-4,64,0.04551735718721079,full_spatial,0.02013327504036077
32F2,-0.00679313309629911,64,0.09465370743667548,full_spatial,-0.07176827279421466
44F4,9.645224583350006e-4,65,0.020831623124468804,full_spatial,0.04630087884040459
39E9,0.0570604717441736,65,0.08912164933219921,full_spatial,0.6402537674261594
43E9,0.13984688794794434,65,0.2062914077142244,full_spatial,0.6779094170595524
42E9,0.18587952968277197,65,0.19743555877011915,full_spatial,0.9414693626653026
44F0,-0.02232535779370092,65,-0.007780224241638725,full_spatial,2.8695005568372407
44E7,-0.12080689970436695,65,-0.08511851555798529,full_spatial,1.419278742262248
48F1,-0.16495154668102538,65,-0.2015618416797747,full_spatial,0.8183669354593771
46F3,-0.07848073046819735,65,-0.04372357684255466,full_spatial,1.7949293295651592
47F0,-0.1288422106764691,65,-0.12420142795313563,full_spatial,1.0373649707560895
45F0,0.00525721498587741,65,0.13336782421488788,full_spatial,0.03941891544550328
44F3,-0.01636832406361626,65,0.07175744443900828,full_spatial,-0.22810628488210524
36F0,0.030940323262040707,65,0.051973023969628815,full_spatial,0.5953150480549512
35F2,-0.07355054107319645,65,0.06254307072745689,full_spatial,-1.1759982395764779
44F5,0.0634163097979515,66,0.15636626693974995,full_spatial,0.4055626001635421
42F3,0.020997572536715813,66,0.00183578221162809,full_spatial,11.437943130570925
41F5,-0.03449539158934993,66,0.06572540305475164,full_spatial,-0.5248410810142012
40F5,-0.11498906585760545,66,-0.053456809274645474,full_spatial,2.1510648955276253
44E9,-0.009111517909404029,66,-0.03684623067848313,full_spatial,0.24728493910029248
47F1,-0.14899103503658478,66,-0.17595374893832064,full_spatial,0.8467624926185151
45F2,-0.1322001237674703,66,-0.11718157716005254,full_spatial,1.1281647420302654
43F4,0.0030035235930027035,67,0.055125288134433445,full_spatial,0.054485403970643075
43F3,3.7802181079772446e-4,67,0.05214589986825782,full_spatial,0.0072493103341348866
43F2,-0.010052277053566844,67,-0.002258624016993027,full_spatial,4.450619925201069
42F2,0.010892469279774468,67,0.010684703258777541,full_spatial,1.019445184013533
38F2,-0.16731809608071432,67,-0.1281614936331324,full_spatial,1.3055254845864182
40E9,0.0912626657613784,67,0.05881739466958641,full_spatial,1.5516271380950668
41E7,-9.60713840630589e-4,67,0.06376676473060831,full_spatial,-0.015066059015056825
41F0,0.08949711931397011,67,0.08365179906022917,full_spatial,1.0698768026439256
46E9,-0.02947244000113493,67,0.024135820574697223,full_spatial,-1.2211078512918825
48F0,-0.1630223917421458,67,-0.1786716570239933,full_spatial,0.9124132750403384
45F1,-0.015196540834348987,67,0.0668865279657542,full_spatial,-0.22719882906957875
39F3,-0.030771884894353896,68,0.05939274733527456,full_spatial,-0.51810846062811855
37F2,-0.1575225712889268,68,-0.06462337122414229,full_spatial,2.437548031076392
41E9,0.1779605389098981,68,0.20701679974892295,full_spatial,0.8596429812736682
46E8,-0.0514679082682493,68,-0.0890320001911678,full_spatial,0.5780832527376493
46F1,-0.0572720929523305,68,-0.0053315131204041116,full_spatial,10.742183627598287
44F2,-0.05906955748979643,68,-0.02659855705756409,full_spatial,2.220780524370522
39F0,0.06853994580538084,68,0.0758134902672835,full_spatial,0.9040600236678262
45E9,-0.029021079550057092,68,0.012452719862926056,full_spatial,-2.330501277593015
45F3,-0.054604278444308395,69,-0.02623486765502689,full_spatial,2.081362832179015
40F0,0.11318888866767841,69,0.12362242616103375,full_spatial,0.9156015796052704
43E8,0.103349961314841,69,0.1715928490372354,full_spatial,0.6022976009473111
45E8,-0.07535814188100148,69,-0.06458895165580274,full_spatial,1.1667342470982998
46F0,-0.03526610508423479,69,0.04950754172044298,full_spatial,-0.7123380369676582
42F7,-0.017111659227966557,69,0.1671099419999575,full_spatial,-0.10239761335068209
38F1,-0.12304109024743158,69,-0.07999626143631652,full_spatial,1.5380855059755787
41F7,-0.15649378381638226,69,-0.06509226623989489,full_spatial,2.4041839815444557
37F1,-0.08079853027604601,70,-0.008127496578968595,full_spatial,9.941379795240664
46F2,-0.17519174550949557,70,-0.2384866831514617,full_spatial,0.7345976018217846
38F0,0.048532954904461766,70,0.08270253169636899,full_spatial,0.5868375962496996
40F6,-0.19121041197006652,70,-0.09611864234567065,full_spatial,1.9893166123010577
37F0,0.025646736222466594,71,0.09694006100887832,full_spatial,0.26456282320802044
38F3,-0.11290844446842124,72,-0.06294827066613826,full_spatial,1.793670314904426
40F2,0.03544275921009099,72,0.05006650725615479,full_spatial,0.7079135564371516
41E8,0.08620690408482494,72,0.0873849717177085,full_spatial,0.9865186472029855
33F2,-0.020235551689498067,72,0.10037461445070715,full_spatial,-0.20160029306449312
37F8,-0.3021855333401233,72,-0.14679994272021274,full_spatial,2.05848536273656
40F1,0.04434575563457205,74,0.07011318049991347,full_spatial,0.6324881472839016
40F7,-0.25596989010782056,74,-0.14075611565208168,full_spatial,1.818534767899692
36F1,-0.0021279980864864884,74,0.09974387200035764,full_spatial,-0.021334624812628673
42F4,0.04022967811643115,75,0.07713071826476418,full_spatial,0.5215779007572054
35F3,-0.1568859766171322,75,-0.040524200408358337,full_spatial,3.871414489026503
42F5,0.010324596203186908,76,0.08047512248599399,full_spatial,0.12829550156924355
36F2,-0.13993688156324585,76,-0.07009069893951213,full_spatial,1.996511429911843
