model_id,term_type,term,estimate,std_error,statistic,p_value,edf,ref_df
categorical_phase,parametric,(Intercept),0.613508136689245,0.21636655490656678,2.8355035599387124,0.004575350515195274,NA,NA
categorical_phase,parametric,log_hours_total,-0.014865463181557114,0.013939568376208467,-1.0664220570078002,0.2862328952647249,NA,NA
categorical_phase,parametric,phase1989-2000,0.058346890031950836,0.13774921233561102,0.4235733115467475,0.671877022442688,NA,NA
categorical_phase,parametric,phase2001-2007,-0.7239521467656406,0.13596564488317517,-5.324522583537018,1.0121852693393185e-7,NA,NA
categorical_phase,parametric,phase2008-2015,-0.34075119848119156,0.13304022679741437,-2.5612644136578853,0.010429194737337116,NA,NA
categorical_phase,parametric,mean_ln_B_obs,-0.1518283884093026,0.0136354310324716,-11.13484333921945,8.489414354086327e-29,NA,NA
categorical_phase,parametric,log_hours_total:phase1989-2000,-0.010187704589156082,0.014647900245778252,-0.6955061420555709,0.4867381633734594,NA,NA
categorical_phase,parametric,log_hours_total:phase2001-2007,0.08722299707568111,0.014643217924907066,5.95654572123256,2.576250618727491e-9,NA,NA
categorical_phase,parametric,log_hours_total:phase2008-2015,0.05785623510447651,0.014452392277283078,4.003228946076806,6.248378134249733e-5,NA,NA
continuous_linear_year,parametric,(Intercept),0.5387934324466707,0.17599489268708612,3.0614151593855055,0.0022029341237679353,NA,NA
continuous_linear_year,parametric,log_hours_total,0.008630273843680654,0.0059510928760053644,1.4501998243848067,0.1470028040373386,NA,NA
continuous_linear_year,parametric,year_c,-0.013149257704859545,0.003892927432953286,-3.3777299811838883,7.308680890570178e-4,NA,NA
continuous_linear_year,parametric,mean_ln_B_obs,-0.1601887214183218,0.013051989981819931,-12.273126292729927,1.2628148404209758e-34,NA,NA
continuous_linear_year,parametric,log_hours_total:year_c,0.0023704115230724306,4.239476869295866e-4,5.591283066644333,2.2539777537537998e-8,NA,NA
smooth_year_gam,parametric,(Intercept),0.2678217109414001,0.18682123443374166,1.4335721084017685,0.15172470386583792,NA,NA
smooth_year_gam,parametric,mean_ln_B_obs,-0.1464715509355829,0.013900154693277994,-10.537404379133665,7.854743717400103e-26,NA,NA
smooth_year_gam,smooth,s(year),NA,NA,35.31881242134912,0,6.344181235882104,6.721955899298216
smooth_year_gam,smooth,s(year):log_hours_total,NA,NA,44.04975167829714,0,7.267057949732264,7.692551786300709
smooth_year_gam,smooth,s(stat_rec),NA,NA,4.772010037796925,0,128.72111979234367,156
