variable,method,statistic,p_value,n
mean_D,pearson,0.18287582933313629,0.020234525945497846,161
mean_D,spearman,0.24638831377961812,0.0016289342841532262,161
mean_size_CV,pearson,0.08255736247002562,0.2978051274814518,161
mean_size_CV,spearman,0.0988440303657695,0.2122233895812042,161
