phase_v2,edf,ref_df,F_approx,p_smooth_vs_zero,aic_linear,aic_smooth,delta_aic_smooth_minus_linear,nested_test,nested_df,nested_statistic,nested_p,edf_linear_ceiling,phase_linearity_held,term
1985-1991,1.0006194091139715,1.0011776705937705,2.359916044310076,0.12439454583091109,12942.879214110291,12918.967450051628,-23.91176405866281,"anova(linear_gam_ml, smooth_gam_ml, test=""Chisq"")",8.410842938867063,7.689015118666703,7.609431925669228e-6,1.5,TRUE,s(FP_between):phase_v21985-1991
1992-2001,1.00047663746272,1.000872372480504,1.2372972902585948,0.26610195185597024,12942.879214110291,12918.967450051628,-23.91176405866281,"anova(linear_gam_ml, smooth_gam_ml, test=""Chisq"")",8.410842938867063,7.689015118666703,7.609431925669228e-6,1.5,TRUE,s(FP_between):phase_v21992-2001
2002-2007,3.4543409949578514,3.8231096955297645,22.841885268737933,0,12942.879214110291,12918.967450051628,-23.91176405866281,"anova(linear_gam_ml, smooth_gam_ml, test=""Chisq"")",8.410842938867063,7.689015118666703,7.609431925669228e-6,1.5,FALSE,s(FP_between):phase_v22002-2007
2008-2015,3.068743249490438,3.54326787278241,6.330963716654933,1.241926456649889e-4,12942.879214110291,12918.967450051628,-23.91176405866281,"anova(linear_gam_ml, smooth_gam_ml, test=""Chisq"")",8.410842938867063,7.689015118666703,7.609431925669228e-6,1.5,FALSE,s(FP_between):phase_v22008-2015
