phase,n_ok,mean_slope,median_slope,sd_slope,prop_sign_retained,prop_significant,prop_sig_and_same_sign,full_sample_slope,full_sample_p,full_sample_sign,full_sample_sig
1985-1991,1000,-0.02479200277554004,-0.02456700775210088,0.009245515377746922,1,0.134,0.134,-0.024729005795125835,0.1107311557928672,<e2><88><92>,FALSE
1992-2001,1000,0.014104422379611672,0.014118888639381872,0.008655449496982714,0.954,0.018,0.018,0.014172536221368385,0.3160887870740621,+,FALSE
2002-2007,1000,0.12272931891357775,0.12254248190215412,0.010855592369850084,1,1,1,0.12233108594369581,2.5673344889442483e-15,+,TRUE
2008-2015,1000,0.05220462633674894,0.05210500850912044,0.009352464596748386,1,0.975,0.975,0.051887407800964416,3.9235553873169775e-4,+,TRUE
