model_id,year,year_start,year_end,phase,fp_slope,fp_slope_se,fp_slope_lo,fp_slope_hi
categorical_phase,1985,1985,1988,1985-1988,-0.014865463181557114,0.013939568376208467,-0.04218701719892571,0.01245609083581148
categorical_phase,1986,1985,1988,1985-1988,-0.014865463181557114,0.013939568376208467,-0.04218701719892571,0.01245609083581148
categorical_phase,1987,1985,1988,1985-1988,-0.014865463181557114,0.013939568376208467,-0.04218701719892571,0.01245609083581148
categorical_phase,1988,1985,1988,1985-1988,-0.014865463181557114,0.013939568376208467,-0.04218701719892571,0.01245609083581148
categorical_phase,1989,1989,2000,1989-2000,-0.025053167770713196,0.008920489813148209,-0.04253732780448369,-0.007569007736942707
categorical_phase,1990,1989,2000,1989-2000,-0.025053167770713196,0.008920489813148209,-0.04253732780448369,-0.007569007736942707
categorical_phase,1991,1989,2000,1989-2000,-0.025053167770713196,0.008920489813148209,-0.04253732780448369,-0.007569007736942707
categorical_phase,1992,1989,2000,1989-2000,-0.025053167770713196,0.008920489813148209,-0.04253732780448369,-0.007569007736942707
categorical_phase,1993,1989,2000,1989-2000,-0.025053167770713196,0.008920489813148209,-0.04253732780448369,-0.007569007736942707
categorical_phase,1994,1989,2000,1989-2000,-0.025053167770713196,0.008920489813148209,-0.04253732780448369,-0.007569007736942707
categorical_phase,1995,1989,2000,1989-2000,-0.025053167770713196,0.008920489813148209,-0.04253732780448369,-0.007569007736942707
categorical_phase,1996,1989,2000,1989-2000,-0.025053167770713196,0.008920489813148209,-0.04253732780448369,-0.007569007736942707
categorical_phase,1997,1989,2000,1989-2000,-0.025053167770713196,0.008920489813148209,-0.04253732780448369,-0.007569007736942707
categorical_phase,1998,1989,2000,1989-2000,-0.025053167770713196,0.008920489813148209,-0.04253732780448369,-0.007569007736942707
categorical_phase,1999,1989,2000,1989-2000,-0.025053167770713196,0.008920489813148209,-0.04253732780448369,-0.007569007736942707
categorical_phase,2000,1989,2000,1989-2000,-0.025053167770713196,0.008920489813148209,-0.04253732780448369,-0.007569007736942707
categorical_phase,2001,2001,2007,2001-2007,0.072357533894124,0.007796781749857422,0.05707584166440345,0.08763922612384455
categorical_phase,2002,2001,2007,2001-2007,0.072357533894124,0.007796781749857422,0.05707584166440345,0.08763922612384455
categorical_phase,2003,2001,2007,2001-2007,0.072357533894124,0.007796781749857422,0.05707584166440345,0.08763922612384455
