model_id,term,estimate,std_error,statistic,p_value
car_adjacency,(Intercept),0.7430870081345107,0.21877711915441514,3.3965480988440673,6.824156287621507e-4
car_adjacency,log_hours_total,-0.012515219816139305,0.01378452790007384,-0.9079179139731194,0.36392159225178533
car_adjacency,phase1989-2000,0.04354293202033682,0.13729714943862142,0.31714374404985485,0.7511345338060124
car_adjacency,phase2001-2007,-0.728011967876116,0.13530858556968386,-5.380382662423074,7.432767302144948e-8
car_adjacency,phase2008-2015,-0.3381783324610268,0.13231160155076935,-2.5559235055533978,0.01059063976342717
car_adjacency,mean_ln_B_obs,-0.16160682699611098,0.014945472734830717,-10.813095702184322,2.98426002446509e-27
car_adjacency,log_hours_total:phase1989-2000,-0.008948719632050241,0.014600358792677098,-0.6129109400063872,0.5399352291547441
car_adjacency,log_hours_total:phase2001-2007,0.08745510964941149,0.01457483844752088,6.000417086220756,1.968113292700902e-9
car_adjacency,log_hours_total:phase2008-2015,0.057506868818459865,0.01437861586781959,3.999471809186064,6.348400890343046e-5
simple_nonspatial,(Intercept),0.613508136689245,0.21636655490656678,2.8355035599387124,0.004575350515195274
simple_nonspatial,log_hours_total,-0.014865463181557114,0.013939568376208467,-1.0664220570078002,0.2862328952647249
simple_nonspatial,phase1989-2000,0.058346890031950836,0.13774921233561102,0.4235733115467475,0.671877022442688
simple_nonspatial,phase2001-2007,-0.7239521467656406,0.13596564488317517,-5.324522583537018,1.0121852693393185e-7
simple_nonspatial,phase2008-2015,-0.34075119848119156,0.13304022679741437,-2.5612644136578853,0.010429194737337116
simple_nonspatial,mean_ln_B_obs,-0.1518283884093026,0.0136354310324716,-11.13484333921945,8.489414354086327e-29
simple_nonspatial,log_hours_total:phase1989-2000,-0.010187704589156082,0.014647900245778252,-0.6955061420555709,0.4867381633734594
simple_nonspatial,log_hours_total:phase2001-2007,0.08722299707568111,0.014643217924907066,5.95654572123256,2.576250618727491e-9
simple_nonspatial,log_hours_total:phase2008-2015,0.05785623510447651,0.014452392277283078,4.003228946076806,6.248378134249733e-5
