record_type,perm_id,converged,phase_scheme,phase_col,phases,n_boot,n_failed,n_ok,seed,runtime_sec,n_cores,FP_between,slope_1985_1991,slope_1992_2001,slope_2002_2007,slope_2008_2015
metadata,NA,NA,phase_v2,phase_v2,1985-1991|1992-2001|2002-2007|2008-2015,1000,0,1000,42,335.308,1,NA,NA,NA,NA,NA
permutation,1,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0020115472911685505,0.0020115472911685505,-0.012504173709142967,-0.01590469194746794,-0.01542882267496461
permutation,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.004892899904983876,0.004892899904983876,0.007505854796846397,-0.011025098632585963,0.009489534314147789
permutation,3,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.002309495525558457,-0.002309495525558457,-0.014811965112954576,-0.03441752286362643,-0.029144288679946517
permutation,4,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.016780992880542696,0.016780992880542696,0.00612528929256567,-0.00919755475959027,0.005201219164424065
permutation,5,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.011528389242133959,0.011528389242133959,0.023422089213349664,0.01918650155208272,0.030235874832611
permutation,6,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.008088255429232185,-0.008088255429232185,-0.016963879078336068,-0.0011004909154662054,-0.007635596119324127
permutation,7,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.003413493139382152,-0.003413493139382152,0.00813486862605445,-0.014592956881676267,-0.0012368620951045536
permutation,8,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.007000595666973676,-0.007000595666973676,0.0032531865907173916,-0.0016979964299535383,-0.002897610830976345
permutation,9,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.031618297857845916,0.031618297857845916,0.005827645970660322,-0.002169757266495591,0.0030799312867001195
permutation,10,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.008418427717878672,-0.008418427717878672,-0.0054047240031294555,0.0180631400778607,0.006976496992411235
permutation,11,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.008774359713512939,0.008774359713512939,-0.003110452036842154,-0.010655716146485965,-0.013728332284105364
permutation,12,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.012805515546921598,0.012805515546921598,9.177048896259511e-4,-0.002555007588882441,0.017783828836792914
permutation,13,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.017276874991535584,0.017276874991535584,-0.009607734845395639,0.0019399491139100895,-0.0023151119257424566
permutation,14,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.022607691721916,-0.022607691721916,-0.017070347430225744,0.013013798679112787,-0.008026464419974207
permutation,15,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.010947152323713532,0.010947152323713532,0.004054406023791259,0.015176726754743639,0.005881112497751425
permutation,16,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.02092986278853762,-0.02092986278853762,-0.022378602470419947,0.01271044784153937,0.0107001837364047
permutation,17,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.022205786477129997,0.022205786477129997,0.01928433856022551,0.015814433363046842,0.01760050500486406
permutation,18,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0162013899035642,-0.0162013899035642,-3.104531999439733e-4,-0.01438820139667661,-0.022780127599751454
permutation,19,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.005440269148271918,0.005440269148271918,0.0027196739463174234,-0.015217653882642903,0.003679458447350528
permutation,20,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.001022457925659999,-0.001022457925659999,0.019813089144445746,0.011934308094809032,0.03421415247374578
permutation,21,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.004045756588558289,-0.004045756588558289,6.344522067414588e-4,0.0050449376648060975,-0.004098956213563791
permutation,22,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0021605474723694665,0.0021605474723694665,-0.0030461628411045404,-0.007926020119703997,0.01485446872263929
permutation,23,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03420799976790786,0.03420799976790786,0.03323541488603564,0.0034630789193722256,0.01630834553955746
permutation,24,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0029121775444675016,0.0029121775444675016,0.01762291176495948,0.003510116439655807,0.01742618182744815
permutation,25,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.01676861367226224,-0.01676861367226224,-0.029742998761290045,-0.028045764514005585,-0.02988878436366436
permutation,26,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.007066005175580515,-0.007066005175580515,-0.004206148687346469,-0.008914293365207306,-0.008492747747512835
permutation,27,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.014150233084543384,0.014150233084543384,0.009818567027271982,0.023837284236231597,-0.0012069805631145236
permutation,28,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.031875126646890746,0.031875126646890746,0.035927280695288166,0.032396212472034086,0.021428311971175354
permutation,29,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.001012639843868617,0.001012639843868617,0.008280629142539058,0.008988914341852875,0.017455730410363978
permutation,30,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0021654107402837375,0.0021654107402837375,0.011239059624398431,-0.0019495193907099447,-0.0023045271365116247
permutation,31,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0066721110969806775,0.0066721110969806775,-0.006304623117769516,-0.006033916891014194,-0.020282193248904193
permutation,32,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.023241634642291394,0.023241634642291394,0.004911701518085038,0.021251883723714934,-0.0012300253842058503
permutation,33,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.01142095473422722,-0.01142095473422722,0.008876802745687818,0.009687203158050826,0.0042754751092134325
permutation,34,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.029056358117342196,-0.029056358117342196,-0.0162325514041652,0.012716754319496329,0.009411475632252232
permutation,35,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.008437287312530026,-0.008437287312530026,0.004034690520419002,0.01619837466772356,0.019042434610407805
permutation,36,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.03197782407078265,-0.03197782407078265,-0.016841575936554828,0.020138872103496894,7.19734763586867e-4
permutation,37,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.010529392103451628,-0.010529392103451628,-0.0036809318524873968,0.001258260085880862,0.001659439674901857
permutation,38,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.024553347847621598,-0.024553347847621598,-0.002281596010626819,-0.01680473259158627,-0.0028721829145489375
permutation,39,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.4382072505418455e-4,-3.4382072505418455e-4,-0.005796506359794621,0.007224623086104828,0.004693313397747707
permutation,40,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.007760685203514862,-0.007760685203514862,-0.02901749003916388,-0.0012966145155693751,-0.004274679696073777
permutation,41,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.010980367237894997,0.010980367237894997,0.013664920357657732,-0.0052860898581964695,-0.002717444762453485
