model,variable,morans_i,geary_c,p_moran,p_geary,n,expected_moran,expected_geary,variance_moran,z_moran,note
original_phase,(1|stat_rec) intercepts,0.551900487396114,0.4409115897037509,2.7822692601299284e-39,1.149629728804649e-37,158,-0.006369426751592357,1,0.0018272358263184143,13.060112648782066,data-driven phase 1989/2001/2008; matches archived Moran<e2><89><88>0.552 Geary<e2><89><88>0.441
phase_v2,(1|stat_rec) intercepts,0.5502646647487459,0.4422094246319926,4.567493278418376e-39,1.6821361115748363e-37,158,-0.006369426751592357,1,0.001827101725345885,13.022322234550206,policy-anchored phase_v2 1992/2002/2008
