"b_quartile","n","ln_B_obs_min","ln_B_obs_max","median_ratio","mean_ln_ratio"
1,3018,3.93594907040827,11.0902272413718,3.06699604508898,1.01094236643295
2,3017,11.090509632199,11.8973230526614,3.8694012976214,1.26270608490165
3,3017,11.8975316984978,12.6996009139679,4.51200673699213,1.4056906517821
4,3017,12.6997882336969,17.3917341100309,5.47053692498679,1.60914655263733
