model_id,hypothesis_group,component,phase,year_start,year_end,fp_slope,fp_slope_se,fp_slope_lo,fp_slope_hi,statistic,p_value
wb_car_v2,H2_spatial_between,FP_between,1985-1991,1985,1991,-0.06279682776253351,0.015917241896318147,-0.09399462187931708,-0.03159903364574994,-3.945207855203808,7.97307867544237e-5
wb_car_v2,H2_spatial_between,FP_between,1992-2001,1992,2001,-0.024352194717543553,0.014719182231708424,-0.053201791891692066,0.004497402456604956,-1.6544529671684787,0.09803551205245403
wb_car_v2,H2_spatial_between,FP_between,2002-2007,2002,2007,0.08411213959458938,0.01591950705119196,0.05290990577425314,0.11531437341492562,5.283589455635283,1.26676962707025e-7
wb_car_v2,H2_spatial_between,FP_between,2008-2015,2008,2015,0.013255595740878756,0.01511417069914274,-0.016368178829441013,0.042879370311198525,0.8770309668151757,0.3804698184422417
wb_car_v2,H3_temporal_within,FP_within,1985-1991,1985,1991,0.027264811149100183,0.014786282045672483,-0.0017163016604178835,0.05624592395861825,1.8439260839799687,0.06519391312968649
wb_car_v2,H3_temporal_within,FP_within,1992-2001,1992,2001,0.04620332241717078,0.017153574781619198,0.012582315845197152,0.0798243289891444,2.6935098371844717,0.007070405897034005
wb_car_v2,H3_temporal_within,FP_within,2002-2007,2002,2007,-0.004268325284931242,0.017387230264769044,-0.03834729660387857,0.029810646034016085,-0.2454862114283927,0.8060799832869368
wb_car_v2,H3_temporal_within,FP_within,2008-2015,2008,2015,0.05670545451626689,0.012173070084157939,0.032846237151317334,0.08056467188121645,4.658270602587223,3.1887687617116584e-6
wb_primary_v2,H2_spatial_between,FP_between,1985-1991,1985,1991,-0.024729005795125835,0.015504901278215844,-0.05511861230042889,0.005660600710177217,-1.5949153981308943,0.1107311557928672
wb_primary_v2,H2_spatial_between,FP_between,1992-2001,1992,2001,0.014172536221368385,0.014136802391614743,-0.013535596466196509,0.04188066890893328,1.0025277165771829,0.3160887870740621
wb_primary_v2,H2_spatial_between,FP_between,2002-2007,2002,2007,0.12233108594369581,0.015464750587416408,0.09202017479235965,0.15264199709503196,7.910317418454587,2.5673344889442483e-15
wb_primary_v2,H2_spatial_between,FP_between,2008-2015,2008,2015,0.051887407800964416,0.014636072312972469,0.023200706067538376,0.08057410953439045,3.5451729597546993,3.9235553873169775e-4
wb_primary_v2,H3_temporal_within,FP_within,1985-1991,1985,1991,0.02687809293344614,0.014844273301556408,-0.0022166827376044196,0.0559728686044967,1.8106708484428131,0.0701918179620111
wb_primary_v2,H3_temporal_within,FP_within,1992-2001,1992,2001,0.043721171580476365,0.017203974980503873,0.010001380618688771,0.07744096254226396,2.541341267353776,0.011042807550750714
wb_primary_v2,H3_temporal_within,FP_within,2002-2007,2002,2007,-0.0017742979191749317,0.017440540449155946,-0.03595775719952059,0.032409161361170724,-0.10173411336348816,0.9189677240640042
wb_primary_v2,H3_temporal_within,FP_within,2008-2015,2008,2015,0.05766254182440866,0.012225390937644881,0.033700775586624696,0.08162430806219262,4.716621506707978,2.3979318326433857e-6
