test,statistic,expected,p_value,variable,n_rectangles,n_isolated
morans_i,0.5582263490080306,-0.006369426751592357,5.130303247849922e-40,ols_primary_abs_residuals,158,0
geary_c,0.4330016938311956,1,1.7876639414039783e-38,ols_primary_abs_residuals,158,0
morans_i,0.5910001210106013,-0.006369426751592357,1.6588911197318087e-44,mean_abs_residual,158,0
geary_c,0.40224842007292827,1,1.1238811068582816e-42,mean_abs_residual,158,0
morans_i,0.602823594832212,-0.006369426751592357,6.049228221858902e-46,log_mean_annual_hours_total,158,0
geary_c,0.3915454862122185,1,5.810617531403059e-45,log_mean_annual_hours_total,158,0
