phase,blended_slope,blended_se,blended_lo,blended_hi,FP_between_slope,FP_between_se,FP_between_lo,FP_between_hi,FP_between_p,FP_within_slope,FP_within_se,FP_within_lo,FP_within_hi,FP_within_p,note
1985-1988,-7.895518917015865e-4,0.01412150723818573,-0.02846770607854561,0.02688860229514244,-0.005958374138312478,0.01798774040168229,-0.04121434532560976,0.029297597048984807,0.7404583792741734,0.03174240634994792,0.018174073937622864,-0.0038787785677928954,0.06736359126768873,0.08071086566032507,blended_slope is from residual ~ log_hours_total * phase + (1|stat_rec); not equal to between+within
1989-2000,-0.00561130411043602,0.00909421727485735,-0.02343596996915645,0.01221336174828439,-0.013331582397686321,0.013918913161290528,-0.040612652193815754,0.013949487398443114,0.33816190269029134,0.0414887237978001,0.01538332096751996,0.01133741470146098,0.07164003289413923,0.006996853856644088,blended_slope is from residual ~ log_hours_total * phase + (1|stat_rec); not equal to between+within
2001-2007,0.08851028222434604,0.00785938448746842,0.07310588862890792,0.10391467581978416,0.12556619966591603,0.014957101798889157,0.09625028014009329,0.15488211919173878,4.655417732228938e-17,-0.011604621517643132,0.015774242070623126,-0.042522135976064454,0.019312892940778193,0.4619321355702594,blended_slope is from residual ~ log_hours_total * phase + (1|stat_rec); not equal to between+within
2008-2015,0.05802818921596979,0.00710076738103405,0.04411068514914304,0.07194569328279654,0.051999412008703734,0.014652395945033952,0.023280715956437187,0.08071810806097028,3.868916824261365e-4,0.057140812905157434,0.012224066775193778,0.03318164202577763,0.08109998378453724,2.947396140784902e-6,blended_slope is from residual ~ log_hours_total * phase + (1|stat_rec); not equal to between+within
