phase,n_rectangles,pearson_r,r_squared,cor_p_value,model_fp_between_slope,model_id_for_slope,sign_disagreement,min_mean_residual,min_rectangle,min_FP_between,max_mean_residual,max_rectangle,max_FP_between
1985-1988,156,-0.06663005363929142,0.0044395640479748515,0.40855739862051055,-0.04342120109791227,wb_car,FALSE,-1.8557666849116656,36F0,8.554254018257378,-0.545043990306825,43F3,7.972146548734029
1989-2000,156,-0.08522935265539237,0.007264042554057239,0.2901105588085632,-0.05179757653225637,wb_car,FALSE,-1.7796759670653577,47E8,6.957107670165844,-0.7125591324512446,40F4,9.172566141868502
2001-2007,158,0.4735735712166637,0.22427192735490445,3.2930178751925174e-10,0.08721008349458212,wb_car,FALSE,-1.7921094514534321,48F0,8.483095973750233,-0.374677455729595,34F1,7.316896702548999
2008-2015,157,0.2928055955707584,0.08573511679754654,1.9810150477500267e-4,0.01331300078163078,wb_car,FALSE,-1.7420240627586756,49F0,9.26963783958545,-0.43488806999428303,34F1,7.316896702548999
