stat_rec,random_intercept,n_hauls,unpooled_intercept,model_id,shrinkage_ratio
47E6,-0.06173117640566825,16,-0.09341365505268884,wb_primary,0.6608367520877919
46E6,0.08796220426749381,18,0.11284280104722157,wb_primary,0.7795109962813142
37E9,-0.00991631782010876,20,-0.002367466248938446,wb_primary,4.188578326958266
48E7,0.17410194723922498,31,0.2129928796573728,wb_primary,0.8174073589656659
50E8,0.12908917380825247,33,0.15534386142281836,wb_primary,0.8309898609826281
49E8,-0.10603538009701965,39,-0.1308205602099162,wb_primary,0.8105406361727395
51E8,0.1284279998810209,39,0.15233401649812048,wb_primary,0.8430684284005961
38F8,0.1854267741576752,40,0.21729183262584453,wb_primary,0.8533536300785043
39F8,0.17638658857082118,43,0.21472947705012838,wb_primary,0.8214363067146292
49E9,-0.21199308881026946,45,-0.24256540105265081,wb_primary,0.8739626009739725
50E9,0.048452983881170406,45,0.0629464581499176,wb_primary,0.7697491694571831
35F0,0.31311832427951675,47,0.3617334452037286,wb_primary,0.8656051256282599
51E9,0.07163398922415147,47,0.0874161215150136,wb_primary,0.8194597058604165
32F3,0.19999491786087098,48,0.22973798883283317,wb_primary,0.8705348161047737
34F1,0.6004357309730703,48,0.6864314049323599,wb_primary,0.8747206591345228
42E7,0.23515187869339696,48,0.27203240678727486,wb_primary,0.8644259758260423
48E8,-0.169924143974682,48,-0.1867680305871304,wb_primary,0.9098138661124316
51F0,0.1325014587890193,53,0.15606818609083112,wb_primary,0.8489972370916385
51F1,-0.02682743361941237,53,-0.025790879922704728,wb_primary,1.0401907069403677
51F2,0.03887674453583663,53,0.04775081622367224,wb_primary,0.8141587434596284
31F1,-0.0032952300004598033,54,8.98052458425103e-4,wb_primary,-3.669306808912459
50F3,-0.030037073407930544,54,-0.032403896171059966,wb_primary,0.9269586980949767
47E7,-0.05945597129842014,55,-0.06559158229309714,wb_primary,0.9064573413207214
50F1,-0.15019688348773036,56,-0.16283447961074882,wb_primary,0.9223899253203113
50F2,-0.011364770566468832,56,-0.012218826888965246,wb_primary,0.9301032472055311
35F1,0.2939714415421377,57,0.32835972279314973,wb_primary,0.8952725353813418
46E7,-0.16844482317761386,57,-0.18857509742106485,wb_primary,0.893250622596776
48F3,-0.10910048128015237,57,-0.11858118929430182,wb_primary,0.9200488030979377
45E7,-0.13869866279946988,58,-0.15105368848937636,wb_primary,0.9182077192985896
47F3,-0.02939321421107763,58,-0.027962969428171995,wb_primary,1.051147814847757
49F0,-0.29232183884901036,58,-0.31867615041482056,wb_primary,0.9173006466549041
39E8,0.08626965167131045,59,0.107464186104137,wb_primary,0.8027758344320571
42F1,-0.08576947912048911,59,-0.09677292217687603,wb_primary,0.8862962613004963
50F0,-0.12420595195907878,59,-0.13108808896558088,wb_primary,0.9474999058967966
42E8,0.22680843904807232,60,0.2591936892516964,wb_primary,0.8750538630121678
42F0,-0.11044820854251114,60,-0.11931359234463315,wb_primary,0.9256967825047572
43F0,-0.11665155688861614,60,-0.1271168392024147,wb_primary,0.9176719435484535
45E6,-0.1020451231544142,60,-0.1165470765802506,wb_primary,0.8755699941057654
47F2,-0.22693806535544747,60,-0.2503514600077228,wb_primary,0.9064778985049535
48F2,-0.06662714791818948,60,-0.07267903107520304,wb_primary,0.9167313726189951
49F2,-0.04216547626796564,60,-0.045658425911998854,wb_primary,0.9234982465062319
49F3,-0.04002565957119694,60,-0.040516637991446613,wb_primary,0.9878820542722888
38E9,-0.05633515666497694,61,-0.05352628604025782,wb_primary,1.0524764715154444
40E8,0.09757224452287168,61,0.1154357942995567,wb_primary,0.8452512075212218
