"haul_id","S","N","E","B_obs","B_pred","fig2_predicted_ratio","fig2_observed_ratio","leverage_rank","leverage_product"
"NS-IBTS 1998 1 NL 64T2 GOV 32 32",14,53158,142951737.654043,806299.467149721,7376938.00548567,1009.90922320393,5312.72283346112,1,5365367.78983849
"NS-IBTS 1998 1 DK 26D4 GOV 135 21",9,10795,28213844.2304555,170251.232110757,1340349.69244701,716.223678851056,3366.23604922474,2,2410977.96705679
