"model","term","estimate","std_error","t_value","p_value"
"m1","(Intercept)",-0.912449333511123,0.0401618927049527,-22.7192811906148,6.32647114112381e-112
"m1","log(B_obs)",0.180148430978475,0.00311436587588683,57.8443375498317,0
"m1","D",0.197322470443565,0.0200046723422137,9.86381916524453,7.28926280547506e-23
"m1","size_CV",-0.0550522029407387,0.0150422417041595,-3.65984033653145,0.000253449059216634
"m2","(Intercept)",-0.917944996993838,0.0453222249194561,-20.2537496476652,1.01317778358458e-89
"m2","log(B_obs)",0.1801018390137,0.00311957064779694,57.7328931918528,0
"m2","D",0.207615015394048,0.0441254921889263,4.70510367352121,2.56555089086936e-06
"m2","size_CV",-0.0430906801568978,0.0481191587269754,-0.895499449634838,0.370538026656925
"m2","D:size_CV",-0.0208731149157906,0.0797604073984055,-0.26169769684762,0.793558983990962
